user_id,condition,trial,accuracy,log_likelihood,utility_pearson,utility_spearman,weight_recovery_pearson,weight_recovery_spearman
0,slider,31,0.485,-0.6931492133438525,,,,
0,partial,31,0.495,-0.6931874464528525,,,,
0,standard,32,0.505,-0.6931942257565636,,,,
0,projected,32,0.475,-0.6931474047156965,,,,
0,slider,32,0.475,-0.6931471950941775,,,,
0,partial,32,0.525,-0.6931704754080564,,,,
0,standard,33,0.505,-0.6932018640495484,,,,
0,projected,33,0.485,-0.6931454794430771,,,,
0,slider,33,0.485,-0.6931468094780491,,,,
0,partial,33,0.505,-0.6931741175231018,,,,
0,standard,34,0.495,-0.693209178022208,,,,
0,projected,34,0.495,-0.6931451100430925,,,,
0,slider,34,0.495,-0.6931467307798258,,,,
0,partial,34,0.495,-0.6931777216178504,,,,
0,standard,35,0.49,-0.6932313236633538,,,,
0,projected,35,0.485,-0.6931583643436667,,,,
0,slider,35,0.485,-0.6931493867986696,,,,
0,partial,35,0.48,-0.6931901420569627,,,,
0,standard,36,0.495,-0.6932253453272316,,,,
0,projected,36,0.485,-0.6931490596290886,,,,
0,slider,36,0.485,-0.6931475175873801,,,,
0,partial,36,0.49,-0.6931861911993465,,,,
0,standard,37,0.5,-0.6932095206147031,,,,
0,projected,37,0.495,-0.6931467791629182,,,,
0,slider,37,0.495,-0.6931470500231395,,,,
0,partial,37,0.49,-0.6931779703001831,,,,
0,standard,38,0.465,-0.6932103474250699,,,,
0,projected,38,0.48,-0.6931531627119145,,,,
0,slider,38,0.475,-0.6931483167597855,,,,
0,partial,38,0.475,-0.6931789644390559,,,,
0,standard,39,0.455,-0.6932315044278706,,,,
0,projected,39,0.475,-0.69315225282807,,,,
0,slider,39,0.475,-0.6931481417943585,,,,
0,partial,39,0.455,-0.6931894616816456,,,,
0,standard,40,0.46,-0.6932414786820362,,,,
0,projected,40,0.47,-0.6931561339188816,,,,
0,slider,40,0.47,-0.6931489173079841,,,,
0,partial,40,0.455,-0.6931948202106492,,,,
0,standard,41,0.46,-0.6932410190640804,,,,
0,projected,41,0.48,-0.693147778070553,,,,
0,slider,41,0.48,-0.6931472517486568,,,,
0,partial,41,0.47,-0.6931937404620854,,,,
0,standard,42,0.46,-0.6931814014494739,,,,
0,projected,42,0.465,-0.6931379493820492,,,,
