user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial,test_acc_blend,test_ll_blend,spearman_blend,topn_sign_blend,topn_overlap_blend,combined_blend
0,choice_only,20,0.6000335687519229,0.58,-0.6905539869752336,0.3084909594216971,0.2,0.3,-0.14575452028915145,0.61,-0.669405788621365,0.270732951367479,0.3,0.4,-0.06463352431626052,0.61,-0.669405788621365,0.270732951367479,0.3,0.4,-0.06463352431626052,0.615,-0.673138688085863,0.270732951367479,0.3,0.4,-0.06463352431626052
0,inference_affirm,20,0.9056189346384865,0.545,-0.6914014530801025,-0.20967744898193474,0.2,0.6,-0.40483872449096736,0.51,-0.6966659146411429,-0.29001363633133503,0.1,0.4,-0.5450068181656675,0.6,-0.6700451845867739,0.29483380757229904,0.4,0.6,0.047416903786149545,0.605,-0.6743399469513608,0.29483380757229904,0.4,0.6,0.047416903786149545
0,inference_categories,20,0.908322278673855,0.475,-0.6941728815950262,0.04257817929518215,0.2,0.3,-0.2787109103524089,0.49,-0.7053961588276801,-0.019280684963856067,0.1,0.2,-0.40964034248192804,0.635,-0.6555236672150933,0.3599061193253133,0.5,0.6,0.17995305966265665,0.635,-0.6625542425872155,0.3599061193253133,0.5,0.6,0.17995305966265665
1,choice_only,20,0.498029305728516,0.565,-0.6905280798671243,-0.23490797356198886,0.3,0.6,-0.31745398678099446,0.54,-0.6825041095356087,-0.23806110072389475,0.3,0.6,-0.3190305503619474,0.54,-0.6825041095356087,-0.23806110072389475,0.3,0.6,-0.3190305503619474,0.545,-0.6834672629939768,-0.23806110072389475,0.3,0.6,-0.3190305503619474
1,inference_affirm,20,0.8866386023178938,0.565,-0.6909195086515626,-0.11508914140956503,0.3,0.6,-0.25754457070478254,0.605,-0.6769203934511319,-0.10247663276194147,0.3,0.5,-0.2512383163809707,0.675,-0.6411494766683439,0.5076534730668485,0.4,0.5,0.15382673653342427,0.665,-0.6515948789025352,0.5076534730668485,0.4,0.5,0.15382673653342427
1,inference_categories,20,0.9537052132155995,0.545,-0.6906598046658248,0.012612508647623564,0.3,0.5,-0.19369374567618822,0.6,-0.6772661600546596,0.028378144457153014,0.3,0.5,-0.1858109277714235,0.655,-0.6429979425952166,0.6227426144764133,0.6,0.7,0.41137130723820664,0.655,-0.651366108209922,0.6227426144764133,0.6,0.7,0.41137130723820664
2,choice_only,20,0.4901196511465524,0.545,-0.6906544126480615,0.322141307457629,0.3,0.7,-0.03892934627118552,0.565,-0.6728316516281467,0.30633069114069017,0.3,0.7,-0.046834654429654926,0.565,-0.6728316516281467,0.30633069114069017,0.3,0.7,-0.046834654429654926,0.565,-0.6759580179514465,0.30633069114069017,0.3,0.7,-0.046834654429654926
2,inference_affirm,20,0.7634975220134368,0.63,-0.6899805027403698,0.32807028857648113,0.3,0.6,-0.03596485571175945,0.62,-0.6608334680260447,0.31225967225954226,0.3,0.6,-0.04387016387022888,0.63,-0.6687845419011914,0.5968507659644415,0.4,0.6,0.1984253829822208,0.64,-0.6730425520462927,0.5968507659644415,0.4,0.6,0.1984253829822208
2,inference_categories,20,0.7395228300398584,0.615,-0.6893098953153065,0.3458572319330373,0.3,0.6,-0.02707138403348136,0.685,-0.6554579303475265,0.3379519237745679,0.3,0.6,-0.031024038112716062,0.605,-0.6648295622956399,0.5632532062909464,0.4,0.6,0.18162660314547324,0.61,-0.6694766688839241,0.5632532062909464,0.4,0.6,0.18162660314547324
3,choice_only,20,0.3885547424689904,0.545,-0.6921068164282836,0.14837082980375163,0.5,0.4,0.07418541490187582,0.565,-0.6810171629954587,0.16701428485762618,0.4,0.4,-0.01649285757118689,0.565,-0.6810171629954587,0.16701428485762618,0.4,0.4,-0.01649285757118689,0.555,-0.6826135405849263,0.16701428485762618,0.4,0.4,-0.01649285757118689
3,inference_affirm,20,0.812028514547808,0.52,-0.6927656247911449,0.2602315601269989,0.5,0.5,0.13011578006349944,0.6,-0.6776235677407126,0.22915913503720797,0.5,0.5,0.11457956751860399,0.525,-0.6804857720936763,0.6455296312404062,0.6,0.5,0.42276481562020307,0.525,-0.6815923704616748,0.6455296312404062,0.6,0.5,0.42276481562020307
3,inference_categories,20,0.9540955161622938,0.48,-0.6926238859651584,0.11807521534120548,0.5,0.6,0.05903760767060274,0.58,-0.6794466362599613,0.17478239113007388,0.5,0.6,0.08739119556503694,0.595,-0.6774125125910683,0.7317556108645759,0.8,0.7,0.665877805432288,0.6,-0.6789198238916305,0.7317556108645759,0.8,0.7,0.665877805432288
4,choice_only,20,0.5357597688516248,0.52,-0.6917858314627672,0.47629481654778283,0.4,0.8,0.13814740827389144,0.57,-0.6788599879265229,0.5336083006966861,0.4,0.8,0.16680415034834306,0.57,-0.6788599879265229,0.5336083006966861,0.4,0.8,0.16680415034834306,0.56,-0.681527751676098,0.5336083006966861,0.4,0.8,0.16680415034834306
4,inference_affirm,20,0.7731703645249093,0.535,-0.6930855328797992,0.17786943356556204,0.2,0.6,-0.21106528321721896,0.55,-0.6949812460268112,0.1758931065259447,0.2,0.7,-0.21205344673702764,0.495,-0.7019113779383757,0.46838950838931337,0.3,0.4,0.034194754194656674,0.495,-0.6984015470285609,0.46838950838931337,0.3,0.4,0.034194754194656674
4,inference_categories,20,0.4938242920800772,0.535,-0.6925605296879853,0.5395372818155383,0.4,0.7,0.16976864090776916,0.53,-0.6876637367429009,0.5711585144494159,0.5,0.8,0.28557925722470795,0.52,-0.6982926471008335,0.5296556466174515,0.4,0.7,0.16482782330872575,0.515,-0.6959480095960926,0.5296556466174515,0.4,0.7,0.16482782330872575
5,choice_only,20,0.5160162378341894,0.495,-0.6931970893587147,0.11263754095049205,0.4,0.2,-0.04368122952475395,0.505,-0.6916090027411065,0.13827229164956956,0.4,0.3,-0.0308638541752152,0.505,-0.6916090027411065,0.13827229164956956,0.4,0.3,-0.0308638541752152,0.51,-0.6907338194429894,0.13827229164956956,0.4,0.3,-0.0308638541752152
5,inference_affirm,20,0.6632401936707437,0.53,-0.6931220042338583,0.143709966040283,0.6,0.4,0.17185498302014146,0.565,-0.6779315513978835,0.19342584618394845,0.6,0.4,0.1967129230919742,0.54,-0.693286940696158,0.41481687494870867,0.6,0.5,0.3074084374743543,0.535,-0.6914314402195333,0.41481687494870867,0.6,0.5,0.3074084374743543
5,inference_categories,20,0.833113273242869,0.51,-0.6927149661438757,0.19497946743843794,0.4,0.4,-0.0025102662807810067,0.485,-0.6957205273121575,0.22139102876476027,0.5,0.5,0.11069551438238014,0.465,-0.7046023952853123,0.4381211937660519,0.6,0.6,0.3190605968830259,0.475,-0.7003602112386755,0.4381211937660519,0.6,0.6,0.3190605968830259
6,choice_only,20,0.4934189580212495,0.53,-0.6921695567460978,0.4550583247722644,0.7,0.5,0.42752916238613214,0.515,-0.6923766590699568,0.4445280494882781,0.7,0.5,0.42226402474413904,0.515,-0.6923766590699568,0.4445280494882781,0.7,0.5,0.42226402474413904,0.515,-0.691649798818033,0.4445280494882781,0.7,0.5,0.42226402474413904
6,inference_affirm,20,0.8916357356534699,0.475,-0.6927005456382379,0.13689357869182167,0.5,0.6,0.06844678934591084,0.53,-0.6928006849963444,0.12109816576584224,0.4,0.6,-0.039450917117078856,0.585,-0.6757588268126515,0.5799173031395303,0.7,0.7,0.4899586515697651,0.575,-0.6768074634907058,0.5799173031395303,0.7,0.7,0.4899586515697651
6,inference_categories,20,0.6642740105481618,0.57,-0.6920967776152874,0.4355020992448613,0.6,0.7,0.3177510496224306,0.58,-0.6914698204601015,0.4174501987580277,0.7,0.6,0.4087250993790138,0.54,-0.6826649468189605,0.5084618637124805,0.7,0.8,0.4542309318562402,0.54,-0.6829809245812628,0.5084618637124805,0.7,0.8,0.4542309318562402
7,choice_only,20,0.5345152256363268,0.57,-0.6911966403843632,-0.03226552647887425,0.4,0.5,-0.11613276323943711,0.56,-0.6820138599056038,0.023046804627767325,0.4,0.4,-0.08847659768611632,0.56,-0.6820138599056038,0.023046804627767325,0.4,0.4,-0.08847659768611632,0.565,-0.6830498428764048,0.023046804627767325,0.4,0.4,-0.08847659768611632
7,inference_affirm,20,0.819662031234806,0.525,-0.6926645916512502,0.16132763239437128,0.5,0.5,0.08066381619718564,0.52,-0.6956487668641845,0.16900990060362703,0.5,0.4,0.08450495030181351,0.545,-0.6925233207470733,0.5669513938430761,0.6,0.5,0.38347569692153805,0.545,-0.6903472972087841,0.5669513938430761,0.6,0.5,0.38347569692153805
7,inference_categories,20,0.8940822156433661,0.475,-0.6938326756925025,0.02151035098591617,0.4,0.5,-0.0892448245070419,0.495,-0.7007461189433057,0.02151035098591617,0.4,0.5,-0.0892448245070419,0.5,-0.6977538423433662,0.47476417533200693,0.6,0.5,0.3373820876660034,0.505,-0.6943252534937683,0.47476417533200693,0.6,0.5,0.3373820876660034
8,choice_only,20,0.6708783116692223,0.485,-0.6937315782796206,-0.11965835906212527,0.2,0.6,-0.35982917953106264,0.48,-0.7049455928598811,-0.03479427462090168,0.3,0.5,-0.21739713731045085,0.48,-0.7049455928598811,-0.03479427462090168,0.3,0.5,-0.21739713731045085,0.465,-0.7015328524727957,-0.03479427462090168,0.3,0.5,-0.21739713731045085
8,inference_affirm,20,0.876804255465985,0.63,-0.6881218416319667,0.3980125560293387,0.3,0.5,-0.0009937219853306534,0.665,-0.6422641633598707,0.38019109829668174,0.4,0.5,0.09009554914834089,0.615,-0.6554010160708543,0.5830162601112061,0.6,0.6,0.39150813005560303,0.615,-0.6611481976313149,0.5830162601112061,0.6,0.6,0.39150813005560303
8,inference_categories,20,0.8693604805004467,0.525,-0.6920652961783819,-0.07892359853033795,0.2,0.7,-0.33946179926516895,0.525,-0.6962026725033642,-0.06279942248650545,0.2,0.7,-0.33139971124325274,0.555,-0.6908970003988111,0.27920283781162564,0.4,0.5,0.03960141890581284,0.56,-0.6886595624867852,0.27920283781162564,0.4,0.5,0.03960141890581284
9,choice_only,20,0.5,0.57,-0.6911846963074426,0.42876752623832304,0.3,0.6,0.014383763119161508,0.57,-0.6846977216092104,0.42876752623832304,0.3,0.6,0.014383763119161508,0.57,-0.6846977216092104,0.42876752623832304,0.3,0.6,0.014383763119161508,0.565,-0.6856203406230188,0.42876752623832304,0.3,0.6,0.014383763119161508
9,inference_affirm,20,0.7820929292869229,0.55,-0.6918437579476479,0.33701480457415517,0.1,0.5,-0.23149259771292244,0.555,-0.6822508208599243,0.35113060790710404,0.1,0.5,-0.224434696046448,0.61,-0.6677188144591228,0.44817675582112787,0.3,0.6,0.024088377910563924,0.61,-0.6719144560313522,0.44817675582112787,0.3,0.6,0.024088377910563924
9,inference_categories,20,0.5596495448131634,0.51,-0.6934223718042865,0.4552346574876023,0.3,0.5,0.02761732874380113,0.58,-0.6845259692713025,0.35113060790710404,0.3,0.5,-0.02443469604644799,0.52,-0.6854977131611402,0.35113060790710404,0.4,0.6,0.07556530395355204,0.53,-0.6869699328170463,0.35113060790710404,0.4,0.6,0.07556530395355204
10,choice_only,20,0.48899389599146126,0.55,-0.6924346924576593,0.08064722079072195,0.3,0.6,-0.15967638960463904,0.595,-0.6772563974783778,0.06303460935366773,0.3,0.6,-0.16848269532316615,0.595,-0.6772563974783778,0.06303460935366773,0.3,0.6,-0.16848269532316615,0.595,-0.6805439997071727,0.06303460935366773,0.3,0.6,-0.16848269532316615
10,inference_affirm,20,0.3268481838617279,0.53,-0.6922592408192265,0.2298909282310235,0.4,0.7,0.014945464115511772,0.555,-0.6849536687174888,0.13997391194711511,0.3,0.6,-0.13001304402644245,0.525,-0.6921141695988808,0.14090089149643376,0.3,0.5,-0.12954955425178313,0.525,-0.6916482607261153,0.14090089149643376,0.3,0.5,-0.12954955425178313
10,inference_categories,20,0.7663318508395612,0.515,-0.6921247922974891,0.3262968013601624,0.1,0.5,-0.2368515993199188,0.58,-0.6790742517296257,0.3262968013601624,0.1,0.5,-0.2368515993199188,0.5,-0.6897953084349868,0.4013821448549724,0.3,0.5,0.0006910724274862001,0.515,-0.6895966469243665,0.4013821448549724,0.3,0.5,0.0006910724274862001
11,choice_only,20,0.5167447238552025,0.525,-0.6909756325675963,-0.025225017295247128,0.5,0.5,-0.012612508647623564,0.585,-0.6776065625700007,0.0015765635809529455,0.5,0.5,0.0007882817904764727,0.585,-0.6776065625700007,0.0015765635809529455,0.5,0.5,0.0007882817904764727,0.575,-0.6799964105979015,0.0015765635809529455,0.5,0.5,0.0007882817904764727
11,inference_affirm,20,0.9118260472293245,0.57,-0.6908176416795422,-0.015765635809529454,0.4,0.5,-0.1078828179047647,0.63,-0.6723600850780181,-0.004729690742858836,0.4,0.5,-0.1023648453714294,0.625,-0.6609827860899469,0.518689418133519,0.6,0.5,0.35934470906675947,0.625,-0.66572261546476,0.518689418133519,0.6,0.5,0.35934470906675947
11,inference_categories,20,0.8399982821514516,0.545,-0.6913526042110482,0.21441264700960058,0.5,0.4,0.10720632350480029,0.62,-0.6729997079563629,0.20180013836197702,0.5,0.4,0.10090006918098851,0.635,-0.6606758526164314,0.4776987650287424,0.7,0.6,0.43884938251437117,0.64,-0.6664994273032288,0.4776987650287424,0.7,0.6,0.43884938251437117
12,choice_only,20,0.5010287789991655,0.495,-0.6925955344088283,0.4197424239929673,0.3,0.4,0.009871211996483636,0.535,-0.6846534277041104,0.4213884727145084,0.3,0.4,0.010694236357254194,0.535,-0.6846534277041104,0.4213884727145084,0.3,0.4,0.010694236357254194,0.525,-0.6862054028316885,0.4213884727145084,0.3,0.4,0.010694236357254194
12,inference_affirm,20,0.7852097265361008,0.455,-0.6937883626003256,0.23373891845882885,0.2,0.4,-0.18313054077058555,0.515,-0.6886047344052011,0.20246399274954896,0.2,0.3,-0.1987680036252255,0.435,-0.7086645917689088,0.35225442640978427,0.4,0.6,0.07612721320489216,0.435,-0.7037148377845341,0.35225442640978427,0.4,0.6,0.07612721320489216
12,inference_categories,20,0.7817191780581063,0.525,-0.6910326588577831,0.39340564444831055,0.3,0.4,-0.003297177775844734,0.6,-0.6696716646436432,0.40822008294218,0.3,0.4,0.004110041471089981,0.48,-0.6970814116130597,0.5036909087915609,0.5,0.8,0.25184545439578043,0.495,-0.6927939731609417,0.5036909087915609,0.5,0.8,0.25184545439578043
13,choice_only,20,0.5104154586877241,0.5,-0.6941755290284678,0.5985020233761175,0.9,0.7,0.6992510116880588,0.57,-0.6763494836618713,0.6151691683308955,0.9,0.7,0.7075845841654478,0.57,-0.6763494836618713,0.6151691683308955,0.9,0.7,0.7075845841654478,0.57,-0.6795380756261454,0.6151691683308955,0.9,0.7,0.7075845841654478
13,inference_affirm,20,0.9257218253205698,0.53,-0.6925791311855751,0.4454673287913381,0.7,0.5,0.422733664395669,0.61,-0.6690441842152426,0.42728498884067123,0.7,0.5,0.41364249442033557,0.615,-0.6622650607977718,0.8545699776813425,1.0,0.8,0.9272849888406712,0.615,-0.6677697073555825,0.8545699776813425,1.0,0.8,0.9272849888406712
13,inference_categories,20,0.7969653885633088,0.495,-0.6922778286462123,0.00909116997533343,0.6,0.5,0.1045455849876667,0.585,-0.6682995459331674,-0.00909116997533343,0.6,0.5,0.09545441501233326,0.58,-0.6610269128736432,0.1560650845765572,0.8,0.6,0.37803254228827865,0.58,-0.667129936601292,0.1560650845765572,0.8,0.6,0.37803254228827865
14,choice_only,20,0.3660017275798443,0.535,-0.693473047879896,0.316212326338777,0.3,0.7,-0.041893836830611514,0.5,-0.7086544203290438,0.2964490559426034,0.2,0.6,-0.1517754720286983,0.5,-0.7086544203290438,0.2964490559426034,0.2,0.6,-0.1517754720286983,0.495,-0.7030662442683493,0.2964490559426034,0.2,0.6,-0.1517754720286983
14,inference_affirm,20,0.7240092572785696,0.515,-0.6926000084515701,0.3023780370614555,0.3,0.5,-0.04881098146927226,0.5,-0.7083459613556172,0.29842538298222077,0.3,0.5,-0.05078730850888963,0.52,-0.6950277974586098,0.488152778785487,0.4,0.8,0.14407638939274353,0.52,-0.6926506045295246,0.488152778785487,0.4,0.8,0.14407638939274353
14,inference_categories,20,0.8418357925461019,0.5,-0.6937798624113983,0.24901720699178687,0.2,0.6,-0.17549139650410656,0.52,-0.6966685663233708,0.2292539365956133,0.1,0.5,-0.28537303170219336,0.54,-0.6875656189601642,0.5177976843797473,0.4,0.5,0.15889884218987366,0.54,-0.6880835731707546,0.5177976843797473,0.4,0.5,0.15889884218987366
