qualtrics_id,condition,domain,t,fit,test_acc,test_ll
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,random_projection,0.5263157894736842,-0.6932710860213341
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,projection_only,0.631578947368421,-0.6819320812346963
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,projection_alpha,0.6842105263157895,-0.6898578078502086
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,random_projection,0.6,-0.6932275962267427
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,projection_only,0.65,-0.6721571701967839
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,projection_alpha,0.7,-0.6871097853388128
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,random_projection,0.3333333333333333,-0.6931829003096731
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,projection_only,0.0,-0.7219121753023644
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,projection_alpha,0.0,-0.6991112644707237
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,random_projection,0.5,-0.6931697755870021
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,projection_only,0.5,-0.6569313813237434
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,projection_alpha,0.5,-0.685754732026358
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,5,random_projection,0.6,-0.6930289588666512
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,5,projection_only,0.6,-0.6085952193465418
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,5,projection_alpha,0.6,-0.6736047767924369
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,6,random_projection,0.3333333333333333,-0.6931006151484514
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,6,projection_only,0.5,-0.6469631753174861
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,6,projection_alpha,0.5,-0.6828484124698134
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,7,random_projection,0.42857142857142855,-0.6932815049799853
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,7,projection_only,0.5714285714285714,-0.6930882034045374
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,7,projection_alpha,0.5714285714285714,-0.6929336129875618
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,8,random_projection,0.5,-0.6932964752354438
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,8,projection_only,0.5,-0.6934876271992447
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,8,projection_alpha,0.5,-0.6940826307852552
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,9,random_projection,0.4444444444444444,-0.6932596872932114
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,9,projection_only,0.5555555555555556,-0.6889745755449456
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,9,projection_alpha,0.5555555555555556,-0.692762922715819
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,10,random_projection,0.5,-0.693196927467179
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,10,projection_only,0.6,-0.6802741981702706
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,10,projection_alpha,0.6,-0.6907429945378333
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,11,random_projection,0.6363636363636364,-0.69318379429612
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,11,projection_only,0.6363636363636364,-0.6886359381591313
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,11,projection_alpha,0.5454545454545454,-0.6928939139821769
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,12,random_projection,0.5833333333333334,-0.6931686891858946
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,12,projection_only,0.5833333333333334,-0.6938126565149906
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,12,projection_alpha,0.4166666666666667,-0.6946738594825058
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,13,random_projection,0.5384615384615384,-0.6932226424349855
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,13,projection_only,0.5384615384615384,-0.7018821897788226
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,13,projection_alpha,0.38461538461538464,-0.6971363503187964
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,14,random_projection,0.5,-0.6933682784045996
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,14,projection_only,0.42857142857142855,-0.6999368757179807
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,14,projection_alpha,0.5,-0.6966245279692933
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,15,random_projection,0.5333333333333333,-0.6933481465173086
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,15,projection_only,0.5333333333333333,-0.7001189749296625
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,15,projection_alpha,0.5333333333333333,-0.6960632140645515
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,16,random_projection,0.625,-0.6932538376705041
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,16,projection_only,0.5625,-0.6944942753422159
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,16,projection_alpha,0.5,-0.6952583786240725
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,17,random_projection,0.47058823529411764,-0.6932584032201454
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,17,projection_only,0.47058823529411764,-0.6983045732139386
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,17,projection_alpha,0.4117647058823529,-0.6966845311871737
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,18,random_projection,0.5,-0.693292529849891
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,18,projection_only,0.4444444444444444,-0.7037408068448252
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,18,projection_alpha,0.4444444444444444,-0.6974100825700058
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,19,random_projection,0.47368421052631576,-0.6932960540263439
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,19,projection_only,0.5263157894736842,-0.6999605947750592
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,19,projection_alpha,0.47368421052631576,-0.6963229926576635
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,20,random_projection,0.55,-0.6932699823451962
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,20,projection_only,0.5,-0.704195423102664
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,20,projection_alpha,0.45,-0.6974050193170773
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,3,random_projection,0.0,-0.6933560649482565
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,3,projection_only,0.0,-0.7022959428030635
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,3,projection_alpha,0.0,-0.6946864663288217
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,4,random_projection,0.25,-0.6932655615519412
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,4,projection_only,0.5,-0.6868244155488717
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,4,projection_alpha,0.5,-0.6919788245219884
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,5,random_projection,0.6,-0.6931633175138604
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,5,projection_only,0.8,-0.6530999997913802
R_3HS2lsaEfcZSuXu,inference_categories,dailydilemmas,5,projection_alpha,0.8,-0.6854463737043128
