user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
62,inference_categories,20,0.9527624000404505,0.5,-0.6995047514221087,0.058185736545171236,0.3,1.0,-0.1709071317274144,0.5,-0.9993020185934135,0.8598558845008637,0.5,1.0,0.42992794225043185,0.5,-0.9993020185934135,0.8598558845008637,0.5,1.0,0.42992794225043185
63,choice_only,20,0.7472264408667519,0.5,-0.7003805570782132,0.31139957766460924,0.1,1.0,-0.2443002111676954,0.3,-1.1254027518977805,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.3,-1.1254027518977805,0.5449492609130662,0.2,1.0,-0.027525369543466904
63,inference_affirm,20,0.4038979880688865,0.55,-0.6842377526280136,0.07784989441615231,0.1,1.0,-0.36107505279192387,0.3,-1.060834818562785,-0.07784989441615231,0.1,1.0,-0.4389249472080762,0.3,-1.060834818562785,-0.07784989441615231,0.1,1.0,-0.4389249472080762
63,inference_categories,20,0.5961020119311136,0.6,-0.6752392371366764,0.5449492609130662,0.2,1.0,-0.027525369543466904,0.55,-0.8366171076328099,0.7006490497453708,0.2,1.0,0.050324524872685406,0.55,-0.8366171076328099,0.7006490497453708,0.2,1.0,0.050324524872685406
64,choice_only,20,0.32995614491792513,0.4,-0.7016461938700558,0.4399433835235439,0.2,1.0,-0.08002830823822804,0.45,-0.9178651575155955,0.1565900178643122,0.2,1.0,-0.2217049910678439,0.45,-0.9178651575155955,0.1565900178643122,0.2,1.0,-0.2217049910678439
64,inference_affirm,20,0.6100208952681446,0.45,-0.711618755822878,-0.09693667772552661,0.2,1.0,-0.3484683388627633,0.45,-1.0543328738339723,0.08202334269083021,0.2,1.0,-0.2589883286545849,0.45,-1.0543328738339723,0.08202334269083021,0.2,1.0,-0.2589883286545849
64,inference_categories,20,0.65335439171755,0.6,-0.6620104347098299,-0.39520337841945463,0.1,1.0,-0.5976016892097273,0.65,-0.7353374047583678,-0.14167668282961585,0.1,1.0,-0.47083834141480796,0.65,-0.7353374047583678,-0.14167668282961585,0.1,1.0,-0.47083834141480796
65,choice_only,20,0.07915855106214505,0.5,-0.7134847585591434,0.531509589558614,0.5,1.0,0.265754794779307,0.4,-1.059130027528309,-0.050024431958457787,0.3,1.0,-0.2250122159792289,0.4,-1.059130027528309,-0.050024431958457787,0.3,1.0,-0.2250122159792289
65,inference_affirm,20,0.3173452129509539,0.45,-0.6926029212022325,0.21885688981825283,0.4,1.0,0.009428444909126435,0.25,-1.3729151046920935,-0.08754275592730112,0.4,1.0,-0.14377137796365053,0.25,-1.3729151046920935,-0.08754275592730112,0.4,1.0,-0.14377137796365053
65,inference_categories,20,0.7719053403007153,0.6,-0.6839215109563015,-0.16257940386498781,0.3,1.0,-0.2812897019324939,0.25,-1.384773282536584,0.12506107989614448,0.4,1.0,-0.037469460051927736,0.25,-1.384773282536584,0.12506107989614448,0.4,1.0,-0.037469460051927736
66,choice_only,20,0.4417660003801261,0.5,-0.7152445563782858,0.3482222584194486,0.2,1.0,-0.1258888707902757,0.45,-1.0478456365868838,0.05462309935991352,0.3,1.0,-0.17268845032004326,0.45,-1.0478456365868838,0.05462309935991352,0.3,1.0,-0.17268845032004326
66,inference_affirm,20,0.12445241405105016,0.35,-0.7062765667407004,0.18435296033970808,0.2,1.0,-0.20782351983014596,0.55,-0.9345845779955505,-0.39601747035937296,0.1,1.0,-0.5980087351796866,0.55,-0.9345845779955505,-0.39601747035937296,0.1,1.0,-0.5980087351796866
66,inference_categories,20,0.32697333182669014,0.55,-0.6826781142764353,-0.03413943709994595,0.2,1.0,-0.31706971854997296,0.55,-0.7312129914797976,-0.1229019735598054,0.1,1.0,-0.4614509867799027,0.55,-0.7312129914797976,-0.1229019735598054,0.1,1.0,-0.4614509867799027
67,choice_only,20,0.5737138857764518,0.35,-0.7263962056905479,-0.2938935377559395,0.2,1.0,-0.44694676887796975,0.5,-0.9402585654583178,-0.17508551185460225,0.2,1.0,-0.38754275592730114,0.5,-0.9402585654583178,-0.17508551185460225,0.2,1.0,-0.38754275592730114
67,inference_affirm,20,0.5273298447072098,0.5,-0.7130771757481623,-0.3564240777040118,0.2,1.0,-0.4782120388520059,0.3,-1.2177666546702002,-0.3126526997403612,0.2,1.0,-0.4563263498701806,0.3,-1.2177666546702002,-0.3126526997403612,0.2,1.0,-0.4563263498701806
67,inference_categories,20,0.6077141355724571,0.3,-0.7250517102873916,0.14382024188056616,0.4,1.0,-0.028089879059716896,0.45,-0.9081766900975788,0.31890575373516844,0.4,1.0,0.05945287686758424,0.45,-0.9081766900975788,0.31890575373516844,0.4,1.0,0.05945287686758424
68,choice_only,20,0.9242880449207838,0.65,-0.668571387385474,0.42023031949290335,0.2,1.0,-0.08988484025354831,0.5,-1.080968974812368,0.8210653934707496,0.5,1.0,0.4105326967353748,0.5,-1.080968974812368,0.8210653934707496,0.5,1.0,0.4105326967353748
68,inference_affirm,20,0.31522366750674324,0.6,-0.6756122398691707,0.5236716289065411,0.4,1.0,0.16183581445327055,0.65,-0.6470844041331583,0.21334770066562786,0.4,1.0,0.006673850332813952,0.65,-0.6470844041331583,0.21334770066562786,0.4,1.0,0.006673850332813952
68,inference_categories,20,0.09723201530442578,0.65,-0.6750258140416486,0.5495319562599505,0.4,1.0,0.1747659781299753,0.5,-0.8583948975237019,0.058185736545171236,0.2,1.0,-0.2709071317274144,0.5,-0.8583948975237019,0.058185736545171236,0.2,1.0,-0.2709071317274144
69,choice_only,20,0.6617494409681476,0.55,-0.699281123722415,-0.0521966726214374,0.2,1.0,-0.3260983363107187,0.45,-0.9291116417261662,0.21624335800309782,0.2,1.0,-0.1918783209984511,0.45,-0.9291116417261662,0.21624335800309782,0.2,1.0,-0.1918783209984511
69,inference_affirm,20,0.8185642233270022,0.65,-0.6817247056084286,0.09693667772552661,0.2,1.0,-0.2515316611372367,0.55,-0.8222948298201738,0.49959672366232943,0.3,1.0,0.049798361831164706,0.55,-0.8222948298201738,0.49959672366232943,0.3,1.0,0.049798361831164706
