lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,0.5,0.75,inference_categories,partial,0.5440473425441463,0.47333333333333333,-0.5821998584537073,0.6983333333333334,0.24535700460540646,0.6112329948574631
0.1,0.5,0.75,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6112329948574631
0.1,0.5,0.75,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6112329948574631
0.1,0.5,1.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,1.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,1.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.5,1.0,inference_affirm,partial,0.4845598499488827,0.44666666666666666,-0.611671955447034,0.6638333333333333,0.18894659164110802,0.5382498809522815
0.1,0.5,1.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5382498809522815
0.1,0.5,1.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5382498809522815
0.1,0.5,1.0,inference_categories,partial,0.5415468659379379,0.45999999999999996,-0.6032315807079163,0.6709999999999999,0.23077343296896893,0.5915228140154152
0.1,0.5,1.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5915228140154152
0.1,0.5,1.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.5915228140154152
0.1,0.75,0.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.75,0.0,inference_affirm,partial,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,0.75,0.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,0.75,0.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5188982231853116
0.1,0.75,0.0,inference_categories,partial,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,0.75,0.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,0.75,0.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.5134647756718196
0.1,0.75,0.25,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.25,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.25,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.75,0.25,inference_affirm,partial,0.47673811835130697,0.48333333333333334,-0.5570896860668556,0.7243333333333334,0.22170239250898682,0.5814117714855906
0.1,0.75,0.25,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5814117714855906
0.1,0.75,0.25,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5814117714855906
0.1,0.75,0.25,inference_categories,partial,0.5129448265188156,0.48000000000000004,-0.5502078285049242,0.7265,0.23647241325940777,0.6044787092848367
0.1,0.75,0.25,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6044787092848367
0.1,0.75,0.25,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6044787092848367
0.1,0.75,0.5,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.5,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.5,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.75,0.5,inference_affirm,partial,0.5032763828642522,0.47,-0.5745366066844838,0.7040000000000001,0.22163819143212612,0.5788310887632309
0.1,0.75,0.5,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5788310887632309
0.1,0.75,0.5,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5788310887632309
0.1,0.75,0.5,inference_categories,partial,0.5566004473258713,0.5066666666666666,-0.5623089444418796,0.7176666666666667,0.28496689032960226,0.6499741092122554
0.1,0.75,0.5,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6499741092122554
0.1,0.75,0.5,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6499741092122554
0.1,0.75,0.75,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.75,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,0.75,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.75,0.75,inference_affirm,partial,0.5061017081585403,0.48666666666666664,-0.5939049901871385,0.6816666666666666,0.23971752074593677,0.5955526041833374
0.1,0.75,0.75,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5955526041833374
0.1,0.75,0.75,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5955526041833374
0.1,0.75,0.75,inference_categories,partial,0.5747381444967997,0.5233333333333333,-0.5801412870752084,0.696,0.31070240558173323,0.6760691095369112
0.1,0.75,0.75,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6760691095369112
0.1,0.75,0.75,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6760691095369112
0.1,0.75,1.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.75,1.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
