user_id,condition,fit_type,n_trials,test_acc,test_ll,spearman,combined
0,choice_only,standard,1,0.515,-0.693150886355719,0.1410612563393079,-0.12946937183034607
0,choice_only,projected,1,0.48,-0.7397066323047576,0.1410612563393079,-0.12946937183034607
0,choice_only,partial,1,0.48,-0.7397066323047576,0.1410612563393079,-0.12946937183034607
0,choice_only,blend,1,0.48,-0.7397066323047576,0.1410612563393079,-0.12946937183034607
0,choice_only,standard,2,0.51,-0.6932341277182178,0.03424608535405163,-0.08287695732297416
0,choice_only,projected,2,0.45,-0.8290167954139368,0.05503835146186869,-0.07248082426906563
0,choice_only,partial,2,0.45,-0.8290167954139368,0.05503835146186869,-0.07248082426906563
0,choice_only,blend,2,0.45,-0.8290167954139368,0.05503835146186869,-0.07248082426906563
0,choice_only,standard,3,0.495,-0.6932117142976637,0.10029210710829407,-0.14985394644585298
0,choice_only,projected,3,0.395,-0.8674035520821616,0.12475359664690237,-0.2376232016765488
0,choice_only,partial,3,0.395,-0.8674035520821616,0.12475359664690237,-0.2376232016765488
0,choice_only,blend,3,0.395,-0.8674035520821616,0.12475359664690237,-0.2376232016765488
0,choice_only,standard,4,0.565,-0.6922415295081525,0.26703792746314065,-0.06648103626842969
0,choice_only,projected,4,0.505,-0.8013835104227252,0.24216874643222225,-0.07891562678388889
0,choice_only,partial,4,0.505,-0.8013835104227252,0.24216874643222225,-0.07891562678388889
0,choice_only,blend,4,0.505,-0.8013835104227252,0.24216874643222225,-0.07891562678388889
0,choice_only,standard,5,0.565,-0.692055109792723,0.29109172550943885,-0.05445413724528059
0,choice_only,projected,5,0.525,-0.7978844665720589,0.2955763319248504,-0.05221183403757482
0,choice_only,partial,5,0.525,-0.7978844665720589,0.2955763319248504,-0.05221183403757482
0,choice_only,blend,5,0.525,-0.7978844665720589,0.2955763319248504,-0.05221183403757482
0,choice_only,standard,6,0.565,-0.6916862765505799,0.2813071296939956,0.04065356484699781
0,choice_only,projected,6,0.57,-0.7433098983005157,0.2821225126786158,0.1410612563393079
0,choice_only,partial,6,0.57,-0.7433098983005157,0.2821225126786158,0.1410612563393079
0,choice_only,blend,6,0.57,-0.7433098983005157,0.2821225126786158,0.1410612563393079
0,choice_only,standard,7,0.545,-0.6918514189074098,0.2605148635861785,-0.06974256820691077
