user_id,condition,trial,accuracy,log_likelihood,utility_pearson,utility_spearman,weight_recovery_pearson,weight_recovery_spearman
0,standard,0,0.525,-0.6931471803599453,,,,
0,projected,0,0.525,-0.6931471803599453,,,,
0,slider,0,0.525,-0.6931471803599453,,,,
0,partial,0,0.525,-0.6931471803599453,,,,
0,standard,1,0.69,-0.6209066066427963,0.3457252425761388,0.5352701080432173,0.23615287719428668,0.2901294265928297
0,projected,1,0.655,-0.6197687337626568,0.525459430309321,0.536422569027611,0.2361528771942863,0.2901294265928297
0,slider,1,0.7,-0.6662741171536178,0.624179209888783,0.6274669867947178,0.3780592023239709,0.2901294265928297
0,partial,1,0.705,-0.6241180655637765,0.38553214376910344,0.6145978391356542,0.2611907868712203,0.2901294265928297
0,standard,2,0.62,-0.6973061834707002,0.2980642109278576,0.4182953181272509,0.16640000938862023,0.058025885318565944
0,projected,2,0.615,-0.6287484397940677,0.46182374120644165,0.4496038415366146,0.18540704270642525,0.058025885318565944
0,slider,2,0.655,-0.6597738991691174,0.5560623978227591,0.5329651860744297,0.3083411015621187,0.2901294265928297
0,partial,2,0.64,-0.6454192805714278,0.34449044130641004,0.5117406962785114,0.1944913094709862,0.058025885318565944
0,standard,3,0.63,-0.6927657018744469,0.3071650881957281,0.44710684273709483,0.1715881507877256,0.058025885318565944
0,projected,3,0.655,-0.6238031828010799,0.4931318866177425,0.4783193277310924,0.20536292365341943,0.1740776559556978
0,slider,3,0.685,-0.64284554553226,0.5904690812527289,0.5832893157262904,0.326740622877492,0.2901294265928297
0,partial,3,0.675,-0.6328530848175264,0.37874733132191096,0.5549579831932773,0.21290106661627906,0.1740776559556978
0,standard,4,0.635,-0.7201538656864639,0.29719458005450994,0.43097238895558226,0.12090983141407999,-0.058025885318565944
0,projected,4,0.61,-0.6604457181577003,0.4164979865488867,0.3945738295318127,0.1462832879930039,-0.058025885318565944
0,slider,4,0.65,-0.6492244753037051,0.5295649810712372,0.5124129651860744,0.2666199856679579,0.2901294265928297
0,partial,4,0.67,-0.6427875104324485,0.35189554435306536,0.5059783913565427,0.15031876750618112,-0.058025885318565944
0,standard,5,0.62,-0.8005526544821552,0.24166561915390988,0.3464585834333733,0.09590198179466189,0.058025885318565944
0,projected,5,0.595,-0.6822217339138911,0.3729023201601551,0.4036974789915966,0.12157758652947573,0.058025885318565944
0,slider,5,0.675,-0.6487979475204064,0.4993733361284823,0.5027130852340936,0.24498953037582666,0.1740776559556978
0,partial,5,0.645,-0.6815273143023728,0.2899519817164395,0.42876350540216085,0.12159931345707925,0.058025885318565944
0,standard,6,0.695,-0.66197566356052,0.4580010520310557,0.5486194477791116,0.4007040975698436,0.4061811972299616
0,projected,6,0.67,-0.6143914051694165,0.526541822605481,0.5340216086434574,0.3005056482511952,0.2901294265928297
0,slider,6,0.755,-0.6188875609811284,0.6624172430716494,0.683937575030012,0.46020793038288277,0.5222329678670935
0,partial,6,0.715,-0.5913655143425971,0.4891121848789803,0.5979831932773109,0.38929241508941054,0.4061811972299616
0,standard,7,0.63,-1.0358762525499887,0.268035792368578,0.39294117647058824,-0.06673149842339904,0.058025885318565944
0,projected,7,0.605,-0.7131902382757893,0.40908001822933376,0.46477791116446576,0.04830782914705028,0.1740776559556978
0,slider,7,0.66,-0.6385470798406254,0.5247932100182793,0.5859783913565426,0.19984870775523605,0.1740776559556978
0,partial,7,0.645,-0.7246951359607765,0.32834418357916917,0.44336134453781506,0.02061414359117307,0.1740776559556978
0,standard,8,0.64,-1.0267214551029542,0.29771698083664405,0.40897959183673466,-0.02316315745071883,0.058025885318565944
0,projected,8,0.62,-0.6941963449841174,0.45496162228522796,0.5083793517406963,0.10092997039999924,0.1740776559556978
0,slider,8,0.71,-0.6133114707520556,0.6250420981367969,0.67750300120048,0.33737082462677914,0.2901294265928297
0,partial,8,0.655,-0.7060066887856473,0.39575807113945666,0.47639855942376946,0.11451647144010006,0.1740776559556978
0,standard,9,0.685,-0.9957516588928144,0.35260364101084635,0.47265306122448975,0.11478311645518616,0.1740776559556978
0,projected,9,0.665,-0.6889860285179733,0.507998572009169,0.5414165666266506,0.19203182200110488,0.058025885318565944
0,slider,9,0.73,-0.6065820023850723,0.6557055930610091,0.6952701080432173,0.38286864697965983,0.4061811972299616
0,partial,9,0.725,-0.6780496680064545,0.4431265923878059,0.5504441776710683,0.20591361554414078,0.1740776559556978
0,standard,10,0.555,-1.5930767625099553,0.024311048940857404,0.10789915966386554,-0.11313309809678436,-0.1740776559556978
0,projected,10,0.5,-0.9139709982593501,0.05483102037762849,0.014069627851140454,-0.06568032008798098,-0.058025885318565944
0,slider,10,0.64,-0.6528693485576135,0.439507930148862,0.44614645858343327,0.16470991279920255,0.058025885318565944
0,partial,10,0.57,-0.9501260757012804,0.10443940609860221,0.1799279711884754,-0.030182114877117003,-0.058025885318565944
0,standard,11,0.545,-1.8052974664075765,-0.07550171318717767,0.07255702280912364,-0.34679418445510024,-0.2901294265928297
0,projected,11,0.44,-1.025885663567731,-0.10399329365676423,-0.14237695078031212,-0.2187494952525585,-0.2901294265928297
0,slider,11,0.58,-0.6775591966087913,0.2981353510326823,0.3151500600240096,0.004527636444503068,0.058025885318565944
0,partial,11,0.54,-1.049632353034381,-0.02384579119044401,0.09243697478991596,-0.2807591284733642,-0.2901294265928297
0,standard,12,0.535,-1.84609564726894,-0.0681642090337488,0.07063625450180072,-0.32449757476358837,-0.4061811972299616
0,projected,12,0.475,-1.005356626623163,-0.046506477897778405,-0.044897959183673466,-0.18422999654254407,-0.1740776559556978
0,slider,12,0.575,-0.6680571024324944,0.3543978244408333,0.3467466986794718,0.053144978594550696,0.058025885318565944
0,partial,12,0.53,-1.065791870841782,-0.009734359457669903,0.07937575030012005,-0.24838290844626273,-0.1740776559556978
0,standard,13,0.54,-1.824803601924674,-0.05078218665721374,0.08062424969987995,-0.31628631778951183,-0.4061811972299616
0,projected,13,0.48,-1.0084474782797375,-0.011983941701936937,-0.012148859543817525,-0.18394753212190804,-0.2901294265928297
0,slider,13,0.595,-0.6639627135589176,0.38596238069387623,0.3890036014405762,0.05084941059829088,0.058025885318565944
0,partial,13,0.53,-1.0600230951392278,0.020315228040257656,0.08715486194477791,-0.2406607279836576,-0.2901294265928297
0,standard,14,0.5,-1.706723434881007,-0.020655615125618962,0.04605042016806723,-0.32645247985056747,-0.2901294265928297
0,projected,14,0.48,-0.9871219776349099,0.02485783395287281,-0.0027370948379351738,-0.1842472537695348,-0.2901294265928297
0,slider,14,0.6,-0.661068318784151,0.4087761228750416,0.4025450180072028,0.06331765270519886,0.058025885318565944
0,partial,14,0.475,-1.0040060227382035,0.0588928555889795,0.08014405762304923,-0.24633632596541435,-0.2901294265928297
0,standard,15,0.5,-1.7183724417195783,-0.01879016927922069,0.052292917166866744,-0.3293458859385742,-0.2901294265928297
0,projected,15,0.475,-0.9984760111559859,0.062298288415246005,0.030300120048019206,-0.2028838208917088,-0.2901294265928297
0,slider,15,0.615,-0.6612499662297924,0.4149412249349264,0.4139735894357743,0.038880164122324784,0.058025885318565944
0,partial,15,0.495,-1.0170617782098155,0.06351276767232042,0.09349339735894358,-0.2527719117386293,-0.2901294265928297
0,standard,16,0.5,-1.7196596899205305,-0.013911991544425139,0.0670828331332533,-0.33269099271510943,-0.2901294265928297
0,projected,16,0.565,-0.837750467132941,0.21617990935944487,0.2058583433373349,-0.16515323371484367,-0.1740776559556978
0,slider,16,0.655,-0.6474919275667002,0.4820763448856208,0.48062424969987994,0.06992322388225,0.1740776559556978
0,partial,16,0.53,-1.009392925949901,0.08558004197037129,0.16216086434573826,-0.25164327012798504,-0.2901294265928297
0,standard,17,0.54,-1.7434643502881122,0.053707288513466026,0.1348859543817527,-0.25044139909966034,-0.2901294265928297
0,projected,17,0.57,-0.8374830093122873,0.2348170491697117,0.2139255702280912,-0.1456568200834804,-0.1740776559556978
0,slider,17,0.645,-0.6402188763965007,0.5085438515118511,0.5031932773109243,0.1038756034320553,0.1740776559556978
