lambda,gamma,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,test_acc_blend,test_ll_blend,delta_ll,delta_acc
0.001,0.0,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,2,4,0.25,-0.6917238616310285,1.0,-0.40751073948863714,0.25,-0.6917238616310285,0.0,0.0
0.001,0.0,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,3,4,1.0,-0.6891156439819446,1.0,-0.16565481814988872,1.0,-0.6891156439819446,0.0,0.0
0.001,0.0,0.0,R_18H831wJaDlPwgg,inference_categories,dailydilemmas,4,4,0.75,-0.6902118746874193,1.0,-0.2112110511102683,0.75,-0.6902118746874193,0.0,0.0
0.001,0.0,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,0,4,0.75,-0.6923560192102111,0.75,-0.554748866725011,0.75,-0.6923560192102111,0.0,0.0
0.001,0.0,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,1,4,0.5,-0.692708683905009,0.5,-0.9607711140997942,0.5,-0.692708683905009,0.0,0.0
0.001,0.0,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,2,4,0.5,-0.6938594465566419,0.5,-1.6662259489845668,0.5,-0.6938594465566419,0.0,0.0
0.001,0.0,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,3,4,0.25,-0.693157141606494,0.25,-0.9982743411110415,0.25,-0.693157141606494,0.0,0.0
0.001,0.0,0.0,R_12mMAseFwoOpgqC,inference_categories,dailydilemmas,4,4,0.75,-0.6923894076906529,0.5,-0.8464236673911067,0.75,-0.6923894076906529,0.0,0.0
0.001,0.0,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,0,5,0.6,-0.6920068818772697,0.8,-0.7841095501742974,0.6,-0.6920068818772697,0.0,0.0
0.001,0.0,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,1,5,0.8,-0.6917348847637751,0.8,-0.8154223790362686,0.8,-0.6917348847637751,0.0,0.0
0.001,0.0,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,2,5,0.8,-0.6916545545853191,0.8,-0.7785463707743138,0.8,-0.6916545545853191,0.0,0.0
0.001,0.0,0.0,R_7ojvA7NDI10RoKR,inference_categories,dailydilemmas,3,5,1.0,-0.6917046586626592,0.8,-0.38861713463217706,1.0,-0.6917046586626592,0.0,0.0
0.001,0.0,0.0,R_5gbXjT8uFYXCo7E,inference_categories,dailydilemmas,0,4,0.25,-0.694026868559669,0.0,-1.5791449497421375,0.25,-0.694026868559669,0.0,0.0
0.001,0.0,0.0,R_5gbXjT8uFYXCo7E,inference_categories,dailydilemmas,1,4,0.5,-0.6930937564136729,0.25,-1.2164649250806587,0.5,-0.6930937564136729,0.0,0.0
0.001,0.0,0.0,R_5gbXjT8uFYXCo7E,inference_categories,dailydilemmas,2,4,0.5,-0.6928904338246693,0.5,-1.0347242288499001,0.5,-0.6928904338246693,0.0,0.0
0.001,0.0,0.0,R_5gbXjT8uFYXCo7E,inference_categories,dailydilemmas,3,4,0.75,-0.6928488703434292,0.75,-0.4822145472261131,0.75,-0.6928488703434292,0.0,0.0
0.001,0.0,0.0,R_5gbXjT8uFYXCo7E,inference_categories,dailydilemmas,4,4,0.75,-0.6923363356652761,0.25,-1.1894571077345086,0.75,-0.6923363356652761,0.0,0.0
0.001,0.0,0.0,R_7f9o7q4AZOoP4ot,inference_categories,dailydilemmas,0,4,0.5,-0.6928590408729023,0.25,-1.0275699119838828,0.5,-0.6928590408729023,0.0,0.0
0.001,0.0,0.0,R_7f9o7q4AZOoP4ot,inference_categories,dailydilemmas,1,4,0.25,-0.6940582712554482,0.0,-1.4384897664757692,0.25,-0.6940582712554482,0.0,0.0
0.001,0.0,0.0,R_7f9o7q4AZOoP4ot,inference_categories,dailydilemmas,2,4,0.25,-0.6938234561373877,0.5,-0.8911113424485514,0.25,-0.6938234561373877,0.0,0.0
0.001,0.0,0.0,R_7f9o7q4AZOoP4ot,inference_categories,dailydilemmas,3,4,0.5,-0.6930868562810306,0.25,-1.4634833322660263,0.5,-0.6930868562810306,0.0,0.0
0.001,0.0,0.0,R_7f9o7q4AZOoP4ot,inference_categories,dailydilemmas,4,4,0.25,-0.6937483224132927,0.75,-0.7031245636732003,0.25,-0.6937483224132927,0.0,0.0
0.001,0.0,0.0,R_1WHYlcDjJDcnUfD,inference_categories,dailydilemmas,0,4,0.25,-0.6936107817399355,0.5,-0.726477840591997,0.25,-0.6936107817399355,0.0,0.0
0.001,0.0,0.0,R_1WHYlcDjJDcnUfD,inference_categories,dailydilemmas,1,4,0.75,-0.6927597897553112,0.75,-0.4472293285795424,0.75,-0.6927597897553112,0.0,0.0
0.001,0.0,0.0,R_1WHYlcDjJDcnUfD,inference_categories,dailydilemmas,2,4,0.5,-0.692882790314926,0.5,-0.7485831479936241,0.5,-0.692882790314926,0.0,0.0
0.001,0.0,0.0,R_1WHYlcDjJDcnUfD,inference_categories,dailydilemmas,3,4,0.5,-0.6933126230141359,0.25,-1.0391023167064224,0.5,-0.6933126230141359,0.0,0.0
0.001,0.0,0.0,R_1WHYlcDjJDcnUfD,inference_categories,dailydilemmas,4,4,0.5,-0.6933165620073277,0.75,-0.5383113666869687,0.5,-0.6933165620073277,0.0,0.0
0.001,0.0,0.0,R_6Q0gBjey6IdfZpf,inference_categories,dailydilemmas,0,4,0.75,-0.6921669564928575,0.5,-0.6366367838369119,0.75,-0.6921669564928575,0.0,0.0
0.001,0.0,0.0,R_6Q0gBjey6IdfZpf,inference_categories,dailydilemmas,1,4,1.0,-0.6919515344248186,0.75,-0.3528770229020991,1.0,-0.6919515344248186,0.0,0.0
0.001,0.0,0.0,R_6Q0gBjey6IdfZpf,inference_categories,dailydilemmas,2,4,0.75,-0.6922742370254034,0.75,-0.399023853481567,0.75,-0.6922742370254034,0.0,0.0
0.001,0.0,0.0,R_6Q0gBjey6IdfZpf,inference_categories,dailydilemmas,3,4,0.75,-0.6922809472749593,0.75,-0.27571816392571064,0.75,-0.6922809472749593,0.0,0.0
0.001,0.0,0.0,R_6Q0gBjey6IdfZpf,inference_categories,dailydilemmas,4,4,0.5,-0.6923239171830518,0.75,-0.9040740877806727,0.5,-0.6923239171830518,0.0,0.0
0.001,0.0,0.0,R_1wzohnjOPhN82Wd,inference_categories,dailydilemmas,0,4,0.75,-0.6912657817430935,0.5,-0.5700669223624175,0.75,-0.6912657817430935,0.0,0.0
0.001,0.0,0.0,R_1wzohnjOPhN82Wd,inference_categories,dailydilemmas,1,4,0.75,-0.6910091198303364,0.75,-0.49757147055376433,0.75,-0.6910091198303364,0.0,0.0
0.001,0.0,0.0,R_1wzohnjOPhN82Wd,inference_categories,dailydilemmas,2,4,0.75,-0.6916135310151922,1.0,-0.228432965643023,0.75,-0.6916135310151922,0.0,0.0
0.001,0.0,0.0,R_1wzohnjOPhN82Wd,inference_categories,dailydilemmas,3,4,0.75,-0.6912827721934094,0.75,-0.4252206903455459,0.75,-0.6912827721934094,0.0,0.0
0.001,0.0,0.0,R_1wzohnjOPhN82Wd,inference_categories,dailydilemmas,4,4,0.25,-0.6945114868894781,0.5,-1.3212390360979416,0.25,-0.6945114868894781,0.0,0.0
0.001,0.0,0.0,R_70kbQcqJL4Tkq6B,inference_categories,dailydilemmas,0,4,0.5,-0.693099326816225,0.5,-1.4996901247318313,0.5,-0.693099326816225,0.0,0.0
0.001,0.0,0.0,R_70kbQcqJL4Tkq6B,inference_categories,dailydilemmas,1,4,0.5,-0.6935456776381743,0.25,-1.1518689164192808,0.5,-0.6935456776381743,0.0,0.0
0.001,0.0,0.0,R_70kbQcqJL4Tkq6B,inference_categories,dailydilemmas,2,4,1.0,-0.6903881142268726,1.0,-0.42368183353240535,1.0,-0.6903881142268726,0.0,0.0
