condition,lambda,gamma,alpha,test_ll_std,test_ll_part,test_ll_blend,test_acc_std,test_acc_part,test_acc_blend,delta_ll,delta_acc,n_obs
choice_only,0.001,0.0,0.0,-0.6926096445676121,-0.8003967364902941,-0.6926096445676121,0.6177419354838709,0.5532258064516129,0.6177419354838709,0.0,0.0,62
choice_only,0.001,0.0,0.25,-0.6926096445676121,-0.8003967364902941,-0.6926096445676121,0.6177419354838709,0.5532258064516129,0.6177419354838709,0.0,0.0,62
choice_only,0.001,0.0,0.5,-0.6926096445676121,-0.8003967364902941,-0.6926096445676121,0.6177419354838709,0.5532258064516129,0.6177419354838709,0.0,0.0,62
choice_only,0.001,0.0,0.75,-0.6926096445676121,-0.8003967364902941,-0.6926096445676121,0.6177419354838709,0.5532258064516129,0.6177419354838709,0.0,0.0,62
choice_only,0.001,0.0,1.0,-0.6926096445676121,-0.8003967364902941,-0.6926096445676121,0.6177419354838709,0.5532258064516129,0.6177419354838709,0.0,0.0,62
choice_only,0.001,0.25,0.0,-0.6926096445676121,-0.8003967364902941,-0.6628882936004495,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.02972135096716253,-0.06451612903225806,62
choice_only,0.001,0.25,0.25,-0.6926096445676121,-0.8003967364902941,-0.6628882936004495,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.02972135096716253,-0.06451612903225806,62
choice_only,0.001,0.25,0.5,-0.6926096445676121,-0.8003967364902941,-0.6628882936004495,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.02972135096716253,-0.06451612903225806,62
choice_only,0.001,0.25,0.75,-0.6926096445676121,-0.8003967364902941,-0.6628882936004495,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.02972135096716253,-0.06451612903225806,62
choice_only,0.001,0.25,1.0,-0.6926096445676121,-0.8003967364902941,-0.6628882936004495,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.02972135096716253,-0.06451612903225806,62
choice_only,0.001,0.5,0.0,-0.6926096445676121,-0.8003967364902941,-0.679694221080749,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.012915423486863078,-0.06451612903225806,62
choice_only,0.001,0.5,0.25,-0.6926096445676121,-0.8003967364902941,-0.679694221080749,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.012915423486863078,-0.06451612903225806,62
choice_only,0.001,0.5,0.5,-0.6926096445676121,-0.8003967364902941,-0.679694221080749,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.012915423486863078,-0.06451612903225806,62
choice_only,0.001,0.5,0.75,-0.6926096445676121,-0.8003967364902941,-0.679694221080749,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.012915423486863078,-0.06451612903225806,62
choice_only,0.001,0.5,1.0,-0.6926096445676121,-0.8003967364902941,-0.679694221080749,0.6177419354838709,0.5532258064516129,0.5532258064516129,0.012915423486863078,-0.06451612903225806,62
choice_only,0.001,0.75,0.0,-0.6926096445676121,-0.8003967364902941,-0.7291711533094064,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.03656150874179439,-0.06451612903225806,62
choice_only,0.001,0.75,0.25,-0.6926096445676121,-0.8003967364902941,-0.7291711533094064,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.03656150874179439,-0.06451612903225806,62
choice_only,0.001,0.75,0.5,-0.6926096445676121,-0.8003967364902941,-0.7291711533094064,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.03656150874179439,-0.06451612903225806,62
choice_only,0.001,0.75,0.75,-0.6926096445676121,-0.8003967364902941,-0.7291711533094064,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.03656150874179439,-0.06451612903225806,62
choice_only,0.001,0.75,1.0,-0.6926096445676121,-0.8003967364902941,-0.7291711533094064,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.03656150874179439,-0.06451612903225806,62
choice_only,0.001,1.0,0.0,-0.6926096445676121,-0.8003967364902941,-0.8003967364902941,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.10778709192268195,-0.06451612903225806,62
choice_only,0.001,1.0,0.25,-0.6926096445676121,-0.8003967364902941,-0.8003967364902941,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.10778709192268195,-0.06451612903225806,62
choice_only,0.001,1.0,0.5,-0.6926096445676121,-0.8003967364902941,-0.8003967364902941,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.10778709192268195,-0.06451612903225806,62
choice_only,0.001,1.0,0.75,-0.6926096445676121,-0.8003967364902941,-0.8003967364902941,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.10778709192268195,-0.06451612903225806,62
choice_only,0.001,1.0,1.0,-0.6926096445676121,-0.8003967364902941,-0.8003967364902941,0.6177419354838709,0.5532258064516129,0.5532258064516129,-0.10778709192268195,-0.06451612903225806,62
choice_only,0.005,0.0,0.0,-0.6926096445676121,-0.6566135735271883,-0.6926096445676121,0.6177419354838709,0.6032258064516128,0.6177419354838709,0.0,0.0,62
choice_only,0.005,0.0,0.25,-0.6926096445676121,-0.6566135735271883,-0.6926096445676121,0.6177419354838709,0.6032258064516128,0.6177419354838709,0.0,0.0,62
choice_only,0.005,0.0,0.5,-0.6926096445676121,-0.6566135735271883,-0.6926096445676121,0.6177419354838709,0.6032258064516128,0.6177419354838709,0.0,0.0,62
choice_only,0.005,0.0,0.75,-0.6926096445676121,-0.6566135735271883,-0.6926096445676121,0.6177419354838709,0.6032258064516128,0.6177419354838709,0.0,0.0,62
choice_only,0.005,0.0,1.0,-0.6926096445676121,-0.6566135735271883,-0.6926096445676121,0.6177419354838709,0.6032258064516128,0.6177419354838709,0.0,0.0,62
choice_only,0.005,0.25,0.0,-0.6926096445676121,-0.6566135735271883,-0.663270607270452,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.029339037297160104,-0.014516129032258069,62
choice_only,0.005,0.25,0.25,-0.6926096445676121,-0.6566135735271883,-0.663270607270452,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.029339037297160104,-0.014516129032258069,62
choice_only,0.005,0.25,0.5,-0.6926096445676121,-0.6566135735271883,-0.663270607270452,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.029339037297160104,-0.014516129032258069,62
choice_only,0.005,0.25,0.75,-0.6926096445676121,-0.6566135735271883,-0.663270607270452,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.029339037297160104,-0.014516129032258069,62
choice_only,0.005,0.25,1.0,-0.6926096445676121,-0.6566135735271883,-0.663270607270452,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.029339037297160104,-0.014516129032258069,62
choice_only,0.005,0.5,0.0,-0.6926096445676121,-0.6566135735271883,-0.6489858027982378,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.043623841769374276,-0.014516129032258069,62
choice_only,0.005,0.5,0.25,-0.6926096445676121,-0.6566135735271883,-0.6489858027982378,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.043623841769374276,-0.014516129032258069,62
choice_only,0.005,0.5,0.5,-0.6926096445676121,-0.6566135735271883,-0.6489858027982378,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.043623841769374276,-0.014516129032258069,62
choice_only,0.005,0.5,0.75,-0.6926096445676121,-0.6566135735271883,-0.6489858027982378,0.6177419354838709,0.6032258064516128,0.6032258064516128,0.043623841769374276,-0.014516129032258069,62
