component,eigenvalue,variance_fraction,cumulative_variance
1,0.04241463390201351,0.03436417153260879,0.03436417153260879
2,0.03057388527909366,0.024770843020271854,0.059135014552880644
3,0.028475199211172357,0.023070495725096445,0.08220551027797708
4,0.026213706318495643,0.021238242973292566,0.10344375325126966
5,0.024692691078931225,0.02000592233799357,0.12344967558926322
6,0.02340511617119871,0.018962734152222088,0.1424124097414853
7,0.020785641835404198,0.016840446226586217,0.15925285596807154
8,0.019749817231269867,0.016001225158301127,0.17525408112637267
9,0.01945437959696401,0.015761862735276827,0.1910159438616495
10,0.018322285391752447,0.01484464441037421,0.2058605882720237
11,0.01789256492227486,0.01449648655621671,0.2203570748282404
12,0.017424348609190378,0.014117139519192372,0.2344742143474328
13,0.01651459114943747,0.01338005756129446,0.24785427190872725
14,0.01602338222609789,0.01298208200080782,0.2608363539095351
15,0.015187239596298054,0.012304642492015924,0.273140996401551
16,0.014696780186948782,0.011907274184851064,0.28504827058640203
17,0.014216407423989044,0.011518078039386797,0.29656634862578884
18,0.013911761633072048,0.011271255203665894,0.30783760382945474
19,0.013362323748609312,0.010826102765198312,0.31866370659465304
20,0.013228836572748629,0.010717951974146399,0.3293816585687994
21,0.013044130398516273,0.010568303749688866,0.3399499623184883
22,0.01274972828477793,0.010329780301403562,0.35027974261989187
23,0.012511416400295017,0.010136700938852673,0.3604164435587445
24,0.01199959804020118,0.009722027692811329,0.37013847125155586
25,0.011832021510172663,0.009586257839509213,0.3797247290910651
26,0.011622907762236326,0.009416834693702693,0.3891415637847678
27,0.011480858646730287,0.009301747052428177,0.3984433108371959
28,0.011446703740629992,0.009274074880257078,0.40771738571745303
29,0.011027040373936564,0.008934065251685924,0.4166514509691389
30,0.010771490372305431,0.008727019633621687,0.42537847060276057
31,0.010545284047403427,0.008543748148392045,0.4339222187511526
32,0.010481592396963463,0.008492145420758697,0.4424143641719113
33,0.009959296932201355,0.008068983665236939,0.4504833478371482
34,0.009777738797819275,0.007921885970430476,0.4584052338075787
35,0.009621665469064417,0.007795435966090285,0.466200669773669
36,0.009400782861254665,0.007616477735756863,0.47381714750942583
37,0.00935816286074817,0.007581947176999512,0.4813990946864254
38,0.00923860239199719,0.007485079749918342,0.4888841744363437
39,0.009026228656782891,0.007313015375089951,0.4961971898114337
40,0.00889847519106862,0.007209510013713201,0.5034066998251469
41,0.008697736754488232,0.007046872512614584,0.5104535723377615
42,0.008552812537180803,0.0069294554750353645,0.5173830278127968
43,0.008368269681204202,0.006779939570393868,0.5241629673831906
44,0.008286964592501257,0.0067140665035387665,0.5308770338867294
45,0.008200819140664733,0.00664427179328609,0.5375213056800154
46,0.008109204094426177,0.006570045638907797,0.5440913513189233
47,0.007988543564853633,0.0064722869468246515,0.550563638265748
48,0.007927369254839944,0.006422723758620412,0.5569863620243684
49,0.007785170585964095,0.006307514949786951,0.5632938769741552
50,0.007595762568098199,0.0061540573098923836,0.5694479342840477
