participant_id,qualtrics_response_id,condition,domain,n_trials,loo_random,loo_proj_only,loo_proj_alpha,h1_augmented,h1_baseline,h2_signed_likert,h3_aug_minus_base
R_7JEDpdZdeGQBIwh,R_7JEDpdZdeGQBIwh,inference_categories,movies_100,20,0.8,0.8,0.85,0.85,0.8,2.0,1.0
R_58HQv9ta18aEUKV,R_58HQv9ta18aEUKV,inference_affirm,movies_100,20,0.45,0.5,0.55,0.55,0.5,2.0,-2.0
R_5F4LBwLTe6crie9,R_5F4LBwLTe6crie9,choice_only,movies_100,20,0.6,0.4,,0.4,0.6,2.0,-1.0
R_59gDIzhe95z85Dy,R_59gDIzhe95z85Dy,inference_categories,movies_100,20,0.5,0.5,0.65,0.65,0.5,2.0,-1.0
R_14kM1EP6Bsjt0Yz,R_14kM1EP6Bsjt0Yz,inference_affirm,movies_100,20,0.5,0.9,0.85,0.85,0.9,-1.0,-3.0
R_50PspvWkPR4ok2L,R_50PspvWkPR4ok2L,inference_categories,movies_100,20,0.65,0.5,0.45,0.45,0.5,2.0,0.0
R_6qlJQSYjL5naO2i,R_6qlJQSYjL5naO2i,choice_only,movies_100,20,0.4,0.4,,0.4,0.4,1.0,0.0
R_7odMYAby0XtrPlo,R_7odMYAby0XtrPlo,inference_categories,movies_100,20,0.55,0.95,0.9,0.9,0.95,3.0,2.0
R_7TnK11bLAHgvXmF,R_7TnK11bLAHgvXmF,choice_only,movies_100,20,0.3,0.75,,0.75,0.3,-1.0,0.0
R_69SU1p3ru9WjtOp,R_69SU1p3ru9WjtOp,choice_only,movies_100,20,0.6,0.55,,0.55,0.6,1.0,-1.0
R_1VpwnYm7m4uU2Zc,R_1VpwnYm7m4uU2Zc,inference_categories,movies_100,20,0.55,0.55,0.65,0.65,0.55,2.0,0.0
R_7pKbU8vJD5gvWNz,R_7pKbU8vJD5gvWNz,inference_affirm,movies_100,20,0.7,0.65,0.65,0.65,0.65,1.0,-5.0
R_6SGj9y211MG5ilC,R_6SGj9y211MG5ilC,choice_only,movies_100,20,0.45,0.75,,0.75,0.45,-3.0,0.0
R_3KK0255yrnmBDhr,R_3KK0255yrnmBDhr,inference_categories,movies_100,20,0.7,0.75,0.6,0.6,0.75,2.0,-1.0
R_7BWORxESrJE5qTe,R_7BWORxESrJE5qTe,inference_affirm,movies_100,20,0.65,0.65,0.7,0.7,0.65,1.0,1.0
R_72FgUAxQDVlWMvM,R_72FgUAxQDVlWMvM,inference_categories,movies_100,20,0.65,0.45,0.6,0.6,0.45,2.0,1.0
R_3RPM0fRSbx874tN,R_3RPM0fRSbx874tN,inference_affirm,movies_100,20,0.45,0.6,0.5,0.5,0.6,2.0,1.0
R_3Bs0N1fD6QV5ICO,R_3Bs0N1fD6QV5ICO,choice_only,movies_100,20,0.7,0.55,,0.55,0.7,2.0,2.0
R_10e0laXJHifVn6e,R_10e0laXJHifVn6e,inference_affirm,movies_100,20,0.75,0.55,0.4,0.4,0.55,3.0,0.0
R_5IeyibYrhDKp6Hn,R_5IeyibYrhDKp6Hn,choice_only,movies_100,20,0.45,0.55,,0.55,0.45,1.0,3.0
R_1043m2uurvBwtsB,R_1043m2uurvBwtsB,choice_only,movies_100,20,0.55,0.55,,0.55,0.55,-3.0,1.0
R_65QoYwkteR7EPSa,R_65QoYwkteR7EPSa,inference_categories,movies_100,20,0.45,0.65,0.65,0.65,0.65,2.0,-1.0
R_71jyuWvmJP2v9oa,R_71jyuWvmJP2v9oa,inference_categories,movies_100,20,0.7,0.65,0.65,0.65,0.65,2.0,2.0
R_347oSrcwvoPnKYq,R_347oSrcwvoPnKYq,inference_affirm,movies_100,20,0.6,0.75,0.8,0.8,0.75,3.0,3.0
R_1V8W2y8lphWfz1x,R_1V8W2y8lphWfz1x,choice_only,movies_100,20,0.7,0.95,,0.95,0.7,1.0,5.0
R_68BdQg35WlTqiRX,R_68BdQg35WlTqiRX,choice_only,movies_100,20,0.75,0.75,,0.75,0.75,2.0,2.0
R_7Qa9JkoySHm3NpT,R_7Qa9JkoySHm3NpT,inference_categories,movies_100,20,0.6,0.65,0.65,0.65,0.65,-1.0,0.0
R_3d9KTgUfHfOh5Vr,R_3d9KTgUfHfOh5Vr,inference_categories,movies_100,20,0.75,0.65,0.8,0.8,0.65,-2.0,-2.0
R_6WB8pcPLhRrICC4,R_6WB8pcPLhRrICC4,inference_categories,movies_100,20,0.5,0.75,0.5,0.5,0.75,1.0,-3.0
R_6TE9zr0EG9qrAwp,R_6TE9zr0EG9qrAwp,inference_affirm,movies_100,20,0.55,0.35,0.35,0.35,0.35,2.0,-5.0
R_3P39qlIfYHeMP17,R_3P39qlIfYHeMP17,inference_affirm,movies_100,20,0.6,0.45,0.6,0.6,0.45,1.0,2.0
R_7e8dbqFqw0OTzJQ,R_7e8dbqFqw0OTzJQ,inference_categories,movies_100,20,0.6,0.7,0.65,0.65,0.7,3.0,0.0
R_7l5WBXcArQ50eib,R_7l5WBXcArQ50eib,inference_affirm,movies_100,20,0.4,0.85,0.9,0.9,0.85,2.0,1.0
R_725CdsbtTRQRBNG,R_725CdsbtTRQRBNG,choice_only,movies_100,20,0.35,0.75,,0.75,0.35,2.0,4.0
R_74pK1DQZD1XX7DB,R_74pK1DQZD1XX7DB,inference_categories,movies_100,20,0.5,0.7,0.65,0.65,0.7,2.0,1.0
R_3TLQ1MHYabRnBcB,R_3TLQ1MHYabRnBcB,inference_affirm,movies_100,20,0.5,0.5,0.4,0.4,0.5,3.0,-4.0
R_1CsSKSmntGxWq1H,R_1CsSKSmntGxWq1H,inference_affirm,movies_100,20,0.6,0.35,0.5,0.5,0.35,-1.0,1.0
R_1kUoQU8D3mH9h17,R_1kUoQU8D3mH9h17,inference_affirm,movies_100,20,0.55,0.45,0.5,0.5,0.45,1.0,3.0
R_6Xp1pEDYiuX1RcI,R_6Xp1pEDYiuX1RcI,inference_categories,movies_100,20,0.4,0.7,0.7,0.7,0.7,1.0,3.0
R_7KMwBCeI9CDhnGT,R_7KMwBCeI9CDhnGT,inference_affirm,movies_100,20,0.7,0.5,0.55,0.55,0.5,3.0,2.0
R_1qTYrLVTTkVxFxI,R_1qTYrLVTTkVxFxI,inference_affirm,movies_100,20,0.55,0.65,0.6,0.6,0.65,3.0,4.0
R_6qoTWYW4u8QmNbj,R_6qoTWYW4u8QmNbj,inference_categories,movies_100,20,0.5,0.55,0.55,0.55,0.55,1.0,-2.0
R_7rfgv7xfqVeX316,R_7rfgv7xfqVeX316,inference_categories,movies_100,20,0.6,0.65,0.65,0.65,0.65,-1.0,2.0
R_7jNBzlBOuALzaEA,R_7jNBzlBOuALzaEA,inference_categories,movies_100,20,0.45,0.5,0.6,0.6,0.5,1.0,2.0
R_3gSeZoEQJ0dLeWG,R_3gSeZoEQJ0dLeWG,inference_affirm,movies_100,20,0.35,0.5,0.5,0.5,0.5,2.0,4.0
R_5feC4I6jtKax9Xx,R_5feC4I6jtKax9Xx,inference_categories,movies_100,20,0.45,0.5,0.45,0.45,0.5,2.0,3.0
R_3Y3rHbkXqKB5woB,R_3Y3rHbkXqKB5woB,choice_only,movies_100,20,0.7,0.7,,0.7,0.7,-3.0,1.0
R_7njU1TQTWvXWzWA,R_7njU1TQTWvXWzWA,inference_affirm,movies_100,20,0.75,0.4,0.3,0.3,0.4,2.0,-5.0
R_6R08sUENIflAnL3,R_6R08sUENIflAnL3,inference_affirm,movies_100,20,0.55,0.7,0.7,0.7,0.7,2.0,-1.0
R_3YGojYrgYDi0WyJ,R_3YGojYrgYDi0WyJ,inference_categories,movies_100,20,0.75,0.7,0.7,0.7,0.7,3.0,-1.0
R_6B5wvRngOcydmr9,R_6B5wvRngOcydmr9,inference_categories,movies_100,20,0.5,0.5,0.5,0.5,0.5,2.0,5.0
