persona_id,condition,fit_type,n_trials,test_acc,test_ll
0,inference_affirm,projected,15,0.68,-0.5791437266648358
0,inference_affirm,partial,15,0.6,-0.6616399547846947
0,inference_affirm,standard,16,0.78,-0.6829917208281049
0,inference_affirm,projected,16,0.72,-0.5737096190258728
0,inference_affirm,partial,16,0.62,-0.6602960436292861
0,inference_affirm,standard,17,0.76,-0.6825645704123301
0,inference_affirm,projected,17,0.72,-0.5813769790922705
0,inference_affirm,partial,17,0.62,-0.6639655058490789
0,inference_affirm,standard,18,0.74,-0.683043728847566
0,inference_affirm,projected,18,0.7,-0.59088374310725
0,inference_affirm,partial,18,0.64,-0.6727735039019972
0,inference_affirm,standard,19,0.76,-0.6824070368834352
0,inference_affirm,projected,19,0.66,-0.6039488774158199
0,inference_affirm,partial,19,0.62,-0.6784585201899478
0,inference_affirm,standard,20,0.74,-0.6812016848971031
0,inference_affirm,projected,20,0.74,-0.5516438635347675
0,inference_affirm,partial,20,0.62,-0.6323143820614822
0,inference_categories,standard,1,0.56,-0.6924445766781129
0,inference_categories,projected,1,0.58,-0.6706795487308744
0,inference_categories,partial,1,0.58,-0.6707786015819563
0,inference_categories,standard,2,0.64,-0.6917216024592835
0,inference_categories,projected,2,0.62,-0.6671999568860569
0,inference_categories,partial,2,0.6,-0.664708961871628
0,inference_categories,standard,3,0.6,-0.6908394762307253
0,inference_categories,projected,3,0.68,-0.6462503710287852
0,inference_categories,partial,3,0.64,-0.6428629594045951
0,inference_categories,standard,4,0.58,-0.690564639157856
0,inference_categories,projected,4,0.68,-0.6427488315380421
0,inference_categories,partial,4,0.6,-0.6625542539464778
0,inference_categories,standard,5,0.62,-0.6895426445472882
0,inference_categories,projected,5,0.62,-0.6324656602441786
0,inference_categories,partial,5,0.56,-0.6460390953101518
0,inference_categories,standard,6,0.68,-0.6886720427341718
0,inference_categories,projected,6,0.72,-0.5965052825888765
0,inference_categories,partial,6,0.6,-0.6219528318816986
0,inference_categories,standard,7,0.74,-0.6885802144915835
0,inference_categories,projected,7,0.68,-0.6182547317154886
0,inference_categories,partial,7,0.52,-0.6612870704703568
0,inference_categories,standard,8,0.62,-0.6892375920313534
0,inference_categories,projected,8,0.64,-0.6542250748990273
0,inference_categories,partial,8,0.5,-0.6878392066441923
0,inference_categories,standard,9,0.62,-0.6887530303611307
0,inference_categories,projected,9,0.62,-0.6474912186392772
0,inference_categories,partial,9,0.52,-0.6921989243319014
0,inference_categories,standard,10,0.64,-0.6882037173544436
0,inference_categories,projected,10,0.62,-0.6281753184633863
0,inference_categories,partial,10,0.56,-0.6881863389345445
0,inference_categories,standard,11,0.7,-0.687078562236577
0,inference_categories,projected,11,0.66,-0.6292946323599931
0,inference_categories,partial,11,0.56,-0.6923229102195104
0,inference_categories,standard,12,0.7,-0.6856145559069983
0,inference_categories,projected,12,0.66,-0.6161486725141266
0,inference_categories,partial,12,0.6,-0.6712252716699894
0,inference_categories,standard,13,0.74,-0.6851068560399421
0,inference_categories,projected,13,0.64,-0.6200231491055654
0,inference_categories,partial,13,0.6,-0.6721403474557052
0,inference_categories,standard,14,0.74,-0.684105416285096
0,inference_categories,projected,14,0.7,-0.572045170152655
0,inference_categories,partial,14,0.62,-0.6352057070697616
0,inference_categories,standard,15,0.76,-0.6840356820160548
0,inference_categories,projected,15,0.68,-0.5791437266648358
0,inference_categories,partial,15,0.6,-0.6591315876737344
0,inference_categories,standard,16,0.78,-0.6829917208281049
0,inference_categories,projected,16,0.72,-0.5737096190258728
0,inference_categories,partial,16,0.62,-0.6553604644302983
0,inference_categories,standard,17,0.76,-0.6825645704123301
0,inference_categories,projected,17,0.72,-0.5813769790922705
0,inference_categories,partial,17,0.6,-0.6588955782922327
0,inference_categories,standard,18,0.74,-0.683043728847566
0,inference_categories,projected,18,0.7,-0.59088374310725
0,inference_categories,partial,18,0.58,-0.666512602814928
0,inference_categories,standard,19,0.76,-0.6824070368834352
0,inference_categories,projected,19,0.66,-0.6039488774158199
0,inference_categories,partial,19,0.6,-0.6748960663707361
0,inference_categories,standard,20,0.74,-0.6812016848971031
0,inference_categories,projected,20,0.74,-0.5516438635347675
0,inference_categories,partial,20,0.62,-0.6350215541495567
1,choice_only,standard,1,0.34,-0.6934761957344954
1,choice_only,projected,1,0.52,-0.6719510637283064
1,choice_only,partial,1,0.52,-0.6719510637283064
1,choice_only,standard,2,0.54,-0.6927623770545276
1,choice_only,projected,2,0.58,-0.6663341992887817
1,choice_only,partial,2,0.58,-0.6663341992887817
1,choice_only,standard,3,0.58,-0.6920392883779298
1,choice_only,projected,3,0.62,-0.6451791591546185
1,choice_only,partial,3,0.62,-0.6451791591546185
1,choice_only,standard,4,0.58,-0.6919639719411728
1,choice_only,projected,4,0.58,-0.6720321464561537
1,choice_only,partial,4,0.58,-0.6720321464561537
1,choice_only,standard,5,0.58,-0.6914296281913238
1,choice_only,projected,5,0.6,-0.6773325604132355
1,choice_only,partial,5,0.6,-0.6773325604132355
1,choice_only,standard,6,0.68,-0.690843186581448
1,choice_only,projected,6,0.62,-0.6609537438555857
1,choice_only,partial,6,0.62,-0.6609537438555857
1,choice_only,standard,7,0.66,-0.6900166971580809
1,choice_only,projected,7,0.66,-0.6511280049400571
