qualtrics_id,condition,domain,t,fit,test_acc,test_ll
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,random_projection,0.5789473684210527,-0.6936315451377498
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,projection_only,0.5789473684210527,-0.6468253634682544
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,projection_alpha,0.631578947368421,-0.6897469845893411
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,random_projection,0.55,-0.693454033863801
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,projection_only,0.6,-0.6263643289873501
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,projection_alpha,0.65,-0.6871960040109661
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,random_projection,0.3333333333333333,-0.6932351287454787
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,projection_only,0.0,-0.8006104360148872
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,projection_alpha,0.0,-0.6976362414894445
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,random_projection,0.5,-0.6931595008080897
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,projection_only,0.5,-0.5816219349803442
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,projection_alpha,0.5,-0.686788279760266
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,5,random_projection,0.6,-0.6919386180494872
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,5,projection_only,0.6,-0.4908970898571006
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,5,projection_alpha,0.6,-0.6760949851838951
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,6,random_projection,0.3333333333333333,-0.6928254559690186
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,6,projection_only,0.5,-0.5476638134024735
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,6,projection_alpha,0.5,-0.6827309675040594
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,7,random_projection,0.42857142857142855,-0.6944060035537193
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,7,projection_only,0.42857142857142855,-0.7054401499211735
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,7,projection_alpha,0.5714285714285714,-0.6925576661787748
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,8,random_projection,0.5,-0.6944259276578559
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,8,projection_only,0.625,-0.6482978892407456
