lambda,scale,alpha,qualtrics_id,fold,n_test,test_acc,test_ll
0.1,1.25,0.5,R_70kbQcqJL4Tkq6B,0,4,0.5,-0.7141727627768488
0.1,1.25,0.5,R_70kbQcqJL4Tkq6B,1,4,0.75,-0.6762570065081408
0.1,1.25,0.5,R_70kbQcqJL4Tkq6B,2,4,0.75,-0.6486808977973164
0.1,1.25,0.5,R_70kbQcqJL4Tkq6B,3,4,0.75,-0.6449693468920725
0.1,1.25,0.5,R_70kbQcqJL4Tkq6B,4,4,1.0,-0.6415724349078544
0.1,1.25,0.5,R_6rftRMhNP0o6boD,0,4,0.5,-0.6488864806604926
0.1,1.25,0.5,R_6rftRMhNP0o6boD,1,4,0.25,-0.6993868203528781
0.1,1.25,0.5,R_6rftRMhNP0o6boD,2,4,0.25,-0.7193827708505137
0.1,1.25,0.5,R_6rftRMhNP0o6boD,3,4,0.75,-0.6524426287939956
0.1,1.25,0.5,R_6rftRMhNP0o6boD,4,4,0.75,-0.6586125915391483
0.1,1.25,0.5,R_6jv2PrGBJcO4of6,0,4,0.75,-0.6305138162356547
0.1,1.25,0.5,R_6jv2PrGBJcO4of6,1,4,0.75,-0.6793199666484444
0.1,1.25,0.5,R_6jv2PrGBJcO4of6,2,4,0.5,-0.7025467891281129
0.1,1.25,0.5,R_6jv2PrGBJcO4of6,3,4,0.5,-0.664834205822115
0.1,1.25,0.5,R_6jv2PrGBJcO4of6,4,4,0.5,-0.7779771938311917
0.1,1.25,0.5,R_1dHqTtKKq3yQvmX,0,4,0.75,-0.5838760932786533
0.1,1.25,0.5,R_1dHqTtKKq3yQvmX,1,4,0.5,-0.5821412447634866
0.1,1.25,0.5,R_1dHqTtKKq3yQvmX,2,4,0.75,-0.6181967066589851
0.1,1.25,0.5,R_1dHqTtKKq3yQvmX,3,4,0.75,-0.6345985669191114
0.1,1.25,0.5,R_1dHqTtKKq3yQvmX,4,4,0.75,-0.5788079037726636
0.1,1.25,0.5,R_1P81VK8fH860C4V,0,4,1.0,-0.6245864748411284
0.1,1.25,0.5,R_1P81VK8fH860C4V,1,4,1.0,-0.60125820049666
0.1,1.25,0.5,R_1P81VK8fH860C4V,2,4,0.75,-0.6153100678317305
0.1,1.25,0.5,R_1P81VK8fH860C4V,3,4,0.5,-0.6811050987306555
0.1,1.25,0.5,R_1P81VK8fH860C4V,4,4,1.0,-0.6081565438481296
0.1,1.25,0.5,R_7go085j249AymBb,0,4,0.5,-0.6372592033892851
0.1,1.25,0.5,R_7go085j249AymBb,1,4,0.75,-0.6110227684943322
0.1,1.25,0.5,R_7go085j249AymBb,2,4,1.0,-0.6102721507566863
0.1,1.25,0.5,R_7go085j249AymBb,3,4,0.75,-0.6203428878211708
0.1,1.25,0.5,R_7go085j249AymBb,4,4,0.5,-0.7004986759706116
0.1,1.25,0.5,R_6xzSCFMWRhzZIRg,0,4,0.5,-0.6683884177214114
0.1,1.25,0.5,R_6xzSCFMWRhzZIRg,1,4,0.75,-0.6417821807231447
0.1,1.25,0.5,R_6xzSCFMWRhzZIRg,2,4,0.75,-0.6560609730579336
0.1,1.25,0.5,R_6xzSCFMWRhzZIRg,3,4,0.75,-0.6895592865221098
0.1,1.25,0.5,R_6xzSCFMWRhzZIRg,4,4,0.5,-0.6559969216932005
0.1,1.25,0.5,R_5EychZPB1u00qZH,0,4,0.75,-0.6202226800045825
0.1,1.25,0.5,R_5EychZPB1u00qZH,1,4,0.75,-0.6395605115881212
0.1,1.25,0.5,R_5EychZPB1u00qZH,2,4,1.0,-0.6313282754794922
0.1,1.25,0.5,R_5EychZPB1u00qZH,3,4,1.0,-0.6135527538146665
0.1,1.25,0.5,R_5EychZPB1u00qZH,4,4,0.25,-0.7110325072121187
0.1,1.25,0.5,R_59glCvaBnt5WTU6,0,4,0.25,-0.7073071157311095
0.1,1.25,0.5,R_59glCvaBnt5WTU6,1,4,1.0,-0.6424030322949001
0.1,1.25,0.5,R_59glCvaBnt5WTU6,2,4,1.0,-0.6386296325349212
0.1,1.25,0.5,R_59glCvaBnt5WTU6,3,4,0.5,-0.6477517933406998
0.1,1.25,0.5,R_59glCvaBnt5WTU6,4,4,0.75,-0.6744180594174061
0.1,1.25,0.5,R_1nBL27EvLs0Bkk4,0,4,0.75,-0.6416606037538156
0.1,1.25,0.5,R_1nBL27EvLs0Bkk4,1,4,0.5,-0.7369340365010382
0.1,1.25,0.5,R_1nBL27EvLs0Bkk4,2,4,1.0,-0.646744808079485
0.1,1.25,0.5,R_1nBL27EvLs0Bkk4,3,4,0.75,-0.667337405264771
0.1,1.25,0.5,R_1nBL27EvLs0Bkk4,4,4,0.75,-0.6415280540394122
0.1,1.25,0.5,R_6FsUQnzEYAQwtwa,0,4,0.75,-0.6826052464027336
0.1,1.25,0.5,R_6FsUQnzEYAQwtwa,1,4,0.25,-0.6872588198497009
0.1,1.25,0.5,R_6FsUQnzEYAQwtwa,2,4,0.75,-0.6660438565718277
0.1,1.25,0.5,R_6FsUQnzEYAQwtwa,3,4,0.25,-0.7255927356384709
0.1,1.25,0.5,R_6FsUQnzEYAQwtwa,4,4,0.5,-0.6745903938807596
0.1,1.25,0.5,R_5pX1jjp1Yu1RSN7,0,4,1.0,-0.619295626137846
0.1,1.25,0.5,R_5pX1jjp1Yu1RSN7,1,4,0.75,-0.6175409942870649
0.1,1.25,0.5,R_5pX1jjp1Yu1RSN7,2,4,0.75,-0.6111700408226624
0.1,1.25,0.5,R_5pX1jjp1Yu1RSN7,3,4,0.75,-0.6641722012423683
0.1,1.25,0.5,R_5pX1jjp1Yu1RSN7,4,4,0.25,-0.7872507243677078
0.1,1.25,0.5,R_5DY1mtPtJpWz8WC,0,5,1.0,-0.5346204900135572
0.1,1.25,0.5,R_5DY1mtPtJpWz8WC,1,5,0.8,-0.5996338418392151
0.1,1.25,0.5,R_5DY1mtPtJpWz8WC,2,5,1.0,-0.6259716969615423
0.1,1.25,0.5,R_5DY1mtPtJpWz8WC,3,5,1.0,-0.5768916398842381
0.1,1.25,0.5,R_1PN3SGDWOMibPAh,0,4,1.0,-0.6468626354028305
0.1,1.25,0.5,R_1PN3SGDWOMibPAh,1,4,0.75,-0.7031617708940581
0.1,1.25,0.5,R_1PN3SGDWOMibPAh,2,4,0.75,-0.6587987115058787
0.1,1.25,0.5,R_1PN3SGDWOMibPAh,3,4,0.5,-0.6418829592689174
0.1,1.25,0.5,R_1PN3SGDWOMibPAh,4,4,0.75,-0.6525745608155102
0.1,1.25,0.5,R_3SrBXsc2uYrsSZz,0,4,0.75,-0.6503626143289857
0.1,1.25,0.5,R_3SrBXsc2uYrsSZz,1,4,0.5,-0.6954540240283146
0.1,1.25,0.5,R_3SrBXsc2uYrsSZz,2,4,0.5,-0.7099689538587508
0.1,1.25,0.5,R_3SrBXsc2uYrsSZz,3,4,0.75,-0.6254968211478255
0.1,1.25,0.5,R_3SrBXsc2uYrsSZz,4,4,1.0,-0.6352353183611131
0.1,1.25,0.5,R_7rNeEq8TvAxjqdL,0,4,0.75,-0.5925244484751576
0.1,1.25,0.5,R_7rNeEq8TvAxjqdL,1,4,0.5,-0.639290504477555
0.1,1.25,0.5,R_7rNeEq8TvAxjqdL,2,4,1.0,-0.5948969816150294
0.1,1.25,0.5,R_7rNeEq8TvAxjqdL,3,4,0.5,-0.6826242669751712
0.1,1.25,0.5,R_7rNeEq8TvAxjqdL,4,4,1.0,-0.6185732444206808
0.1,1.25,0.5,R_7QAkOtO6FETwKSv,0,4,0.5,-0.7407282202525627
0.1,1.25,0.5,R_7QAkOtO6FETwKSv,1,4,0.75,-0.6713752656439529
0.1,1.25,0.5,R_7QAkOtO6FETwKSv,2,4,0.5,-0.7287055654262344
0.1,1.25,0.5,R_7QAkOtO6FETwKSv,3,4,0.5,-0.6993418715457383
0.1,1.25,0.5,R_7QAkOtO6FETwKSv,4,4,0.5,-0.6945378464355837
0.1,1.25,0.75,R_5EfMjMbx1z8Kvhl,0,4,0.5,-0.7153675543027486
0.1,1.25,0.75,R_5EfMjMbx1z8Kvhl,1,4,0.75,-0.6836090326588458
0.1,1.25,0.75,R_5EfMjMbx1z8Kvhl,2,4,0.5,-0.6701721465203038
0.1,1.25,0.75,R_5EfMjMbx1z8Kvhl,3,4,0.75,-0.6579885825153466
0.1,1.25,0.75,R_5EfMjMbx1z8Kvhl,4,4,0.5,-0.6735755289656353
0.1,1.25,0.75,R_56aT1YjmRtKACUH,0,4,1.0,-0.6523129094980828
0.1,1.25,0.75,R_56aT1YjmRtKACUH,1,4,0.25,-0.7263069641070206
0.1,1.25,0.75,R_56aT1YjmRtKACUH,2,4,0.5,-0.697055376266974
0.1,1.25,0.75,R_56aT1YjmRtKACUH,3,4,0.5,-0.6820866160043197
0.1,1.25,0.75,R_56aT1YjmRtKACUH,4,4,0.5,-0.6892165365365959
0.1,1.25,0.75,R_3HS2lsaEfcZSuXu,0,4,0.75,-0.6527139795082995
0.1,1.25,0.75,R_3HS2lsaEfcZSuXu,1,4,0.5,-0.7406105637004157
0.1,1.25,0.75,R_3HS2lsaEfcZSuXu,2,4,0.5,-0.6933718183732898
0.1,1.25,0.75,R_3HS2lsaEfcZSuXu,3,4,1.0,-0.6437559249513082
0.1,1.25,0.75,R_3HS2lsaEfcZSuXu,4,4,1.0,-0.6353030260509607
0.1,1.25,0.75,R_6HoVfVJSFl7IrlL,0,4,0.75,-0.6789501586563753
0.1,1.25,0.75,R_6HoVfVJSFl7IrlL,1,4,0.75,-0.6684272396110196
0.1,1.25,0.75,R_6HoVfVJSFl7IrlL,2,4,0.75,-0.7087363022803839
0.1,1.25,0.75,R_6HoVfVJSFl7IrlL,3,4,0.75,-0.6596915178281526
0.1,1.25,0.75,R_6HoVfVJSFl7IrlL,4,4,0.75,-0.6602984101037498
0.1,1.25,0.75,R_5Q5TZ5csoblHSvA,0,4,0.25,-0.7089189884978859
0.1,1.25,0.75,R_5Q5TZ5csoblHSvA,1,4,0.75,-0.6903928737638001
0.1,1.25,0.75,R_5Q5TZ5csoblHSvA,2,4,0.5,-0.7114487455116651
0.1,1.25,0.75,R_5Q5TZ5csoblHSvA,3,4,0.5,-0.6996330094844596
0.1,1.25,0.75,R_5Q5TZ5csoblHSvA,4,4,0.25,-0.6991012396891683
0.1,1.25,0.75,R_18H831wJaDlPwgg,0,4,0.5,-0.6914090902954727
0.1,1.25,0.75,R_18H831wJaDlPwgg,1,4,1.0,-0.5928298082183131
0.1,1.25,0.75,R_18H831wJaDlPwgg,2,4,0.5,-0.6268841226652733
0.1,1.25,0.75,R_18H831wJaDlPwgg,3,4,0.75,-0.591087013982612
0.1,1.25,0.75,R_18H831wJaDlPwgg,4,4,1.0,-0.5879561904874959
0.1,1.25,0.75,R_12mMAseFwoOpgqC,0,4,0.5,-0.6940618255854833
0.1,1.25,0.75,R_12mMAseFwoOpgqC,1,4,0.75,-0.6530432037311278
0.1,1.25,0.75,R_12mMAseFwoOpgqC,2,4,0.5,-0.7071461418142284
0.1,1.25,0.75,R_12mMAseFwoOpgqC,3,4,0.5,-0.6909857089457827
0.1,1.25,0.75,R_12mMAseFwoOpgqC,4,4,0.75,-0.668208212259732
0.1,1.25,0.75,R_7ojvA7NDI10RoKR,0,5,0.6,-0.6428656930333797
0.1,1.25,0.75,R_7ojvA7NDI10RoKR,1,5,1.0,-0.6393153302843123
0.1,1.25,0.75,R_7ojvA7NDI10RoKR,2,5,0.8,-0.656778582853794
0.1,1.25,0.75,R_7ojvA7NDI10RoKR,3,5,0.6,-0.6532640205522976
0.1,1.25,0.75,R_5gbXjT8uFYXCo7E,0,4,0.25,-0.7114514781626743
0.1,1.25,0.75,R_5gbXjT8uFYXCo7E,1,4,0.5,-0.677587878556605
0.1,1.25,0.75,R_5gbXjT8uFYXCo7E,2,4,0.5,-0.6702753046773846
0.1,1.25,0.75,R_5gbXjT8uFYXCo7E,3,4,0.75,-0.674180026676438
0.1,1.25,0.75,R_5gbXjT8uFYXCo7E,4,4,0.5,-0.6551743603017791
0.1,1.25,0.75,R_7f9o7q4AZOoP4ot,0,4,0.25,-0.7148653656697662
0.1,1.25,0.75,R_7f9o7q4AZOoP4ot,1,4,0.5,-0.7360253042659153
0.1,1.25,0.75,R_7f9o7q4AZOoP4ot,2,4,0.25,-0.7082980671808462
0.1,1.25,0.75,R_7f9o7q4AZOoP4ot,3,4,0.5,-0.715040741198007
0.1,1.25,0.75,R_7f9o7q4AZOoP4ot,4,4,0.25,-0.7488406261298179
0.1,1.25,0.75,R_1WHYlcDjJDcnUfD,0,4,0.5,-0.7021540285019463
0.1,1.25,0.75,R_1WHYlcDjJDcnUfD,1,4,0.0,-0.7046583096622963
0.1,1.25,0.75,R_1WHYlcDjJDcnUfD,2,4,0.5,-0.6809950560057831
0.1,1.25,0.75,R_1WHYlcDjJDcnUfD,3,4,0.0,-0.7213681677271422
0.1,1.25,0.75,R_1WHYlcDjJDcnUfD,4,4,1.0,-0.6657903715739839
0.1,1.25,0.75,R_6Q0gBjey6IdfZpf,0,4,0.5,-0.6656807582252058
0.1,1.25,0.75,R_6Q0gBjey6IdfZpf,1,4,1.0,-0.6373446202830448
0.1,1.25,0.75,R_6Q0gBjey6IdfZpf,2,4,0.75,-0.6374264071288308
0.1,1.25,0.75,R_6Q0gBjey6IdfZpf,3,4,0.5,-0.6839182154869864
0.1,1.25,0.75,R_6Q0gBjey6IdfZpf,4,4,0.75,-0.6418991918491774
0.1,1.25,0.75,R_1wzohnjOPhN82Wd,0,4,0.75,-0.6729650145400478
0.1,1.25,0.75,R_1wzohnjOPhN82Wd,1,4,0.75,-0.6465501470254744
0.1,1.25,0.75,R_1wzohnjOPhN82Wd,2,4,0.75,-0.6083885148509133
0.1,1.25,0.75,R_1wzohnjOPhN82Wd,3,4,1.0,-0.6243926356176807
0.1,1.25,0.75,R_1wzohnjOPhN82Wd,4,4,0.5,-0.7006475005422261
0.1,1.25,0.75,R_70kbQcqJL4Tkq6B,0,4,0.5,-0.7118998959404459
0.1,1.25,0.75,R_70kbQcqJL4Tkq6B,1,4,0.75,-0.6650949310260862
0.1,1.25,0.75,R_70kbQcqJL4Tkq6B,2,4,0.75,-0.6584756932309095
0.1,1.25,0.75,R_70kbQcqJL4Tkq6B,3,4,0.75,-0.6440167356832578
0.1,1.25,0.75,R_70kbQcqJL4Tkq6B,4,4,0.75,-0.6515365452896716
0.1,1.25,0.75,R_6rftRMhNP0o6boD,0,4,0.75,-0.6379027556460715
0.1,1.25,0.75,R_6rftRMhNP0o6boD,1,4,0.5,-0.7059730014183918
0.1,1.25,0.75,R_6rftRMhNP0o6boD,2,4,0.25,-0.7198457752957418
0.1,1.25,0.75,R_6rftRMhNP0o6boD,3,4,0.75,-0.6578346153613386
0.1,1.25,0.75,R_6rftRMhNP0o6boD,4,4,0.75,-0.666428627078989
0.1,1.25,0.75,R_6jv2PrGBJcO4of6,0,4,0.75,-0.6361372057749739
0.1,1.25,0.75,R_6jv2PrGBJcO4of6,1,4,0.75,-0.6970906050125644
0.1,1.25,0.75,R_6jv2PrGBJcO4of6,2,4,0.5,-0.71082320175965
0.1,1.25,0.75,R_6jv2PrGBJcO4of6,3,4,0.5,-0.6730082594347502
0.1,1.25,0.75,R_6jv2PrGBJcO4of6,4,4,0.5,-0.7744177736450325
0.1,1.25,0.75,R_1dHqTtKKq3yQvmX,0,4,0.75,-0.5958178931186224
0.1,1.25,0.75,R_1dHqTtKKq3yQvmX,1,4,0.75,-0.581090016564999
0.1,1.25,0.75,R_1dHqTtKKq3yQvmX,2,4,0.75,-0.620350133786299
0.1,1.25,0.75,R_1dHqTtKKq3yQvmX,3,4,0.75,-0.6328742470634512
0.1,1.25,0.75,R_1dHqTtKKq3yQvmX,4,4,0.75,-0.5877509701513767
0.1,1.25,0.75,R_1P81VK8fH860C4V,0,4,1.0,-0.6221879443626898
0.1,1.25,0.75,R_1P81VK8fH860C4V,1,4,0.75,-0.6106117851940553
0.1,1.25,0.75,R_1P81VK8fH860C4V,2,4,0.75,-0.6062507121572982
0.1,1.25,0.75,R_1P81VK8fH860C4V,3,4,0.5,-0.6777057240197231
0.1,1.25,0.75,R_1P81VK8fH860C4V,4,4,0.75,-0.6178033397161996
0.1,1.25,0.75,R_7go085j249AymBb,0,4,0.5,-0.6363571666178041
0.1,1.25,0.75,R_7go085j249AymBb,1,4,1.0,-0.6088977600864725
0.1,1.25,0.75,R_7go085j249AymBb,2,4,1.0,-0.6104381241364876
0.1,1.25,0.75,R_7go085j249AymBb,3,4,0.75,-0.6150901446858806
0.1,1.25,0.75,R_7go085j249AymBb,4,4,0.5,-0.6987934784275716
0.1,1.25,0.75,R_6xzSCFMWRhzZIRg,0,4,0.5,-0.6639719948293805
0.1,1.25,0.75,R_6xzSCFMWRhzZIRg,1,4,0.75,-0.6335382033183792
0.1,1.25,0.75,R_6xzSCFMWRhzZIRg,2,4,0.75,-0.6555782734686884
0.1,1.25,0.75,R_6xzSCFMWRhzZIRg,3,4,0.25,-0.7101509607812325
0.1,1.25,0.75,R_6xzSCFMWRhzZIRg,4,4,0.5,-0.6534781193681827
0.1,1.25,0.75,R_5EychZPB1u00qZH,0,4,0.75,-0.6312905807649861
0.1,1.25,0.75,R_5EychZPB1u00qZH,1,4,0.75,-0.6365379717523625
0.1,1.25,0.75,R_5EychZPB1u00qZH,2,4,1.0,-0.6361070943166754
0.1,1.25,0.75,R_5EychZPB1u00qZH,3,4,1.0,-0.618862631203022
0.1,1.25,0.75,R_5EychZPB1u00qZH,4,4,0.25,-0.7067999872429683
0.1,1.25,0.75,R_59glCvaBnt5WTU6,0,4,0.5,-0.709551959533769
0.1,1.25,0.75,R_59glCvaBnt5WTU6,1,4,1.0,-0.6466462950446081
0.1,1.25,0.75,R_59glCvaBnt5WTU6,2,4,1.0,-0.64279987598111
0.1,1.25,0.75,R_59glCvaBnt5WTU6,3,4,0.5,-0.6494917715631893
0.1,1.25,0.75,R_59glCvaBnt5WTU6,4,4,0.5,-0.6795532681991734
0.1,1.25,0.75,R_1nBL27EvLs0Bkk4,0,4,0.75,-0.6407160532568663
0.1,1.25,0.75,R_1nBL27EvLs0Bkk4,1,4,0.5,-0.735411671817768
0.1,1.25,0.75,R_1nBL27EvLs0Bkk4,2,4,1.0,-0.6556473044926261
0.1,1.25,0.75,R_1nBL27EvLs0Bkk4,3,4,0.75,-0.6703332278310989
0.1,1.25,0.75,R_1nBL27EvLs0Bkk4,4,4,0.75,-0.6547649785580891
0.1,1.25,0.75,R_6FsUQnzEYAQwtwa,0,4,0.75,-0.6854185123366842
0.1,1.25,0.75,R_6FsUQnzEYAQwtwa,1,4,0.5,-0.6876117626578876
0.1,1.25,0.75,R_6FsUQnzEYAQwtwa,2,4,0.75,-0.6611821567887961
0.1,1.25,0.75,R_6FsUQnzEYAQwtwa,3,4,0.25,-0.7381621316008272
0.1,1.25,0.75,R_6FsUQnzEYAQwtwa,4,4,0.5,-0.675601284995992
0.1,1.25,0.75,R_5pX1jjp1Yu1RSN7,0,4,0.75,-0.6263094920598868
0.1,1.25,0.75,R_5pX1jjp1Yu1RSN7,1,4,0.75,-0.622406707445205
0.1,1.25,0.75,R_5pX1jjp1Yu1RSN7,2,4,0.75,-0.6132321243923727
0.1,1.25,0.75,R_5pX1jjp1Yu1RSN7,3,4,0.75,-0.6779294283301609
0.1,1.25,0.75,R_5pX1jjp1Yu1RSN7,4,4,0.25,-0.7805427739713698
0.1,1.25,0.75,R_5DY1mtPtJpWz8WC,0,5,1.0,-0.5413448121689436
0.1,1.25,0.75,R_5DY1mtPtJpWz8WC,1,5,0.8,-0.6047041728815303
0.1,1.25,0.75,R_5DY1mtPtJpWz8WC,2,5,1.0,-0.6297368848437535
0.1,1.25,0.75,R_5DY1mtPtJpWz8WC,3,5,1.0,-0.5883911354961538
0.1,1.25,0.75,R_1PN3SGDWOMibPAh,0,4,0.75,-0.6534117875913478
0.1,1.25,0.75,R_1PN3SGDWOMibPAh,1,4,0.75,-0.6934686948855047
0.1,1.25,0.75,R_1PN3SGDWOMibPAh,2,4,0.75,-0.654644555657039
0.1,1.25,0.75,R_1PN3SGDWOMibPAh,3,4,0.75,-0.6346789960133596
0.1,1.25,0.75,R_1PN3SGDWOMibPAh,4,4,0.75,-0.6579888984476965
0.1,1.25,0.75,R_3SrBXsc2uYrsSZz,0,4,0.75,-0.6528946571185329
0.1,1.25,0.75,R_3SrBXsc2uYrsSZz,1,4,0.75,-0.6952291115678693
0.1,1.25,0.75,R_3SrBXsc2uYrsSZz,2,4,0.5,-0.7065158800417468
0.1,1.25,0.75,R_3SrBXsc2uYrsSZz,3,4,0.75,-0.6262206271454278
0.1,1.25,0.75,R_3SrBXsc2uYrsSZz,4,4,1.0,-0.6418530576289514
0.1,1.25,0.75,R_7rNeEq8TvAxjqdL,0,4,0.75,-0.5883847636690003
0.1,1.25,0.75,R_7rNeEq8TvAxjqdL,1,4,0.5,-0.6521341612895389
0.1,1.25,0.75,R_7rNeEq8TvAxjqdL,2,4,1.0,-0.5963077227526756
0.1,1.25,0.75,R_7rNeEq8TvAxjqdL,3,4,0.5,-0.6837325602756297
0.1,1.25,0.75,R_7rNeEq8TvAxjqdL,4,4,1.0,-0.6160267269988378
0.1,1.25,0.75,R_7QAkOtO6FETwKSv,0,4,0.5,-0.7422687153562976
0.1,1.25,0.75,R_7QAkOtO6FETwKSv,1,4,0.75,-0.6706263822053642
0.1,1.25,0.75,R_7QAkOtO6FETwKSv,2,4,0.5,-0.7300069061694948
0.1,1.25,0.75,R_7QAkOtO6FETwKSv,3,4,0.5,-0.6946690470773871
0.1,1.25,0.75,R_7QAkOtO6FETwKSv,4,4,0.75,-0.6934693029702286
0.1,1.25,1.0,R_5EfMjMbx1z8Kvhl,0,4,0.5,-0.7213772666977055
0.1,1.25,1.0,R_5EfMjMbx1z8Kvhl,1,4,0.5,-0.6867582326130961
0.1,1.25,1.0,R_5EfMjMbx1z8Kvhl,2,4,0.75,-0.6701939427075684
0.1,1.25,1.0,R_5EfMjMbx1z8Kvhl,3,4,0.75,-0.6656111441989233
0.1,1.25,1.0,R_5EfMjMbx1z8Kvhl,4,4,0.5,-0.682908986455544
0.1,1.25,1.0,R_56aT1YjmRtKACUH,0,4,1.0,-0.6474390360664023
0.1,1.25,1.0,R_56aT1YjmRtKACUH,1,4,0.25,-0.7257353672447586
0.1,1.25,1.0,R_56aT1YjmRtKACUH,2,4,0.5,-0.7039757710093965
0.1,1.25,1.0,R_56aT1YjmRtKACUH,3,4,0.5,-0.6829279843394329
0.1,1.25,1.0,R_56aT1YjmRtKACUH,4,4,0.75,-0.6858627851968979
0.1,1.25,1.0,R_3HS2lsaEfcZSuXu,0,4,0.75,-0.6551639312384123
0.1,1.25,1.0,R_3HS2lsaEfcZSuXu,1,4,0.5,-0.7407212079132324
0.1,1.25,1.0,R_3HS2lsaEfcZSuXu,2,4,0.75,-0.6900520825254461
0.1,1.25,1.0,R_3HS2lsaEfcZSuXu,3,4,1.0,-0.6418839102821348
0.1,1.25,1.0,R_3HS2lsaEfcZSuXu,4,4,1.0,-0.633117989201815
0.1,1.25,1.0,R_6HoVfVJSFl7IrlL,0,4,0.75,-0.6775463012251755
0.1,1.25,1.0,R_6HoVfVJSFl7IrlL,1,4,0.75,-0.6787200084178897
0.1,1.25,1.0,R_6HoVfVJSFl7IrlL,2,4,0.75,-0.707267731513693
0.1,1.25,1.0,R_6HoVfVJSFl7IrlL,3,4,0.75,-0.6623706547764285
0.1,1.25,1.0,R_6HoVfVJSFl7IrlL,4,4,0.75,-0.6658837796537553
0.1,1.25,1.0,R_5Q5TZ5csoblHSvA,0,4,0.5,-0.7053891935097568
0.1,1.25,1.0,R_5Q5TZ5csoblHSvA,1,4,0.5,-0.6907841919326639
0.1,1.25,1.0,R_5Q5TZ5csoblHSvA,2,4,0.25,-0.7201473455286547
0.1,1.25,1.0,R_5Q5TZ5csoblHSvA,3,4,0.75,-0.6975690170485677
0.1,1.25,1.0,R_5Q5TZ5csoblHSvA,4,4,0.25,-0.7047724956827608
0.1,1.25,1.0,R_18H831wJaDlPwgg,0,4,0.5,-0.6983964667467928
0.1,1.25,1.0,R_18H831wJaDlPwgg,1,4,1.0,-0.5936346664173965
0.1,1.25,1.0,R_18H831wJaDlPwgg,2,4,0.5,-0.6296222668462849
0.1,1.25,1.0,R_18H831wJaDlPwgg,3,4,0.75,-0.6038147772347985
0.1,1.25,1.0,R_18H831wJaDlPwgg,4,4,1.0,-0.594540369449059
0.1,1.25,1.0,R_12mMAseFwoOpgqC,0,4,0.5,-0.7031262632738806
0.1,1.25,1.0,R_12mMAseFwoOpgqC,1,4,0.75,-0.6537931601983951
0.1,1.25,1.0,R_12mMAseFwoOpgqC,2,4,0.5,-0.707806819287295
0.1,1.25,1.0,R_12mMAseFwoOpgqC,3,4,0.5,-0.6927004929925773
0.1,1.25,1.0,R_12mMAseFwoOpgqC,4,4,0.75,-0.6723517894950141
0.1,1.25,1.0,R_7ojvA7NDI10RoKR,0,5,0.6,-0.6437246041055091
0.1,1.25,1.0,R_7ojvA7NDI10RoKR,1,5,1.0,-0.6451731307897106
0.1,1.25,1.0,R_7ojvA7NDI10RoKR,2,5,0.8,-0.6613539209747297
0.1,1.25,1.0,R_7ojvA7NDI10RoKR,3,5,0.4,-0.6619066595035393
0.1,1.25,1.0,R_5gbXjT8uFYXCo7E,0,4,0.25,-0.7054584037647115
0.1,1.25,1.0,R_5gbXjT8uFYXCo7E,1,4,0.5,-0.6749631418724693
0.1,1.25,1.0,R_5gbXjT8uFYXCo7E,2,4,0.5,-0.6715382184979739
0.1,1.25,1.0,R_5gbXjT8uFYXCo7E,3,4,0.75,-0.6751819926043678
0.1,1.25,1.0,R_5gbXjT8uFYXCo7E,4,4,0.5,-0.6560272818472762
0.1,1.25,1.0,R_7f9o7q4AZOoP4ot,0,4,0.25,-0.7188654064056739
0.1,1.25,1.0,R_7f9o7q4AZOoP4ot,1,4,0.5,-0.7349696913673733
0.1,1.25,1.0,R_7f9o7q4AZOoP4ot,2,4,0.5,-0.7028462174059403
0.1,1.25,1.0,R_7f9o7q4AZOoP4ot,3,4,0.5,-0.7153958400400642
0.1,1.25,1.0,R_7f9o7q4AZOoP4ot,4,4,0.25,-0.7432509394571908
0.1,1.25,1.0,R_1WHYlcDjJDcnUfD,0,4,0.5,-0.7036904258086348
0.1,1.25,1.0,R_1WHYlcDjJDcnUfD,1,4,0.0,-0.7123693804713938
0.1,1.25,1.0,R_1WHYlcDjJDcnUfD,2,4,0.75,-0.6786241894751188
0.1,1.25,1.0,R_1WHYlcDjJDcnUfD,3,4,0.0,-0.719084250817211
0.1,1.25,1.0,R_1WHYlcDjJDcnUfD,4,4,1.0,-0.6556015669619008
0.1,1.25,1.0,R_6Q0gBjey6IdfZpf,0,4,0.5,-0.6711277150925684
0.1,1.25,1.0,R_6Q0gBjey6IdfZpf,1,4,1.0,-0.6395252487300944
0.1,1.25,1.0,R_6Q0gBjey6IdfZpf,2,4,0.75,-0.6382115940166033
0.1,1.25,1.0,R_6Q0gBjey6IdfZpf,3,4,0.5,-0.6879463267288679
0.1,1.25,1.0,R_6Q0gBjey6IdfZpf,4,4,0.75,-0.6471363172054416
0.1,1.25,1.0,R_1wzohnjOPhN82Wd,0,4,0.75,-0.6786333436477223
0.1,1.25,1.0,R_1wzohnjOPhN82Wd,1,4,0.75,-0.650142380655699
0.1,1.25,1.0,R_1wzohnjOPhN82Wd,2,4,0.75,-0.6116508072542166
0.1,1.25,1.0,R_1wzohnjOPhN82Wd,3,4,1.0,-0.6234245071855817
0.1,1.25,1.0,R_1wzohnjOPhN82Wd,4,4,0.5,-0.6952023683764226
