lambda,scale,alpha,qualtrics_id,fold,n_test,test_acc,test_ll
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,2,4,1.0,-0.5785782640819095
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,3,4,0.75,-0.6286130623641978
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,4,4,0.75,-0.5776391263918703
0.05,0.5,0.0,R_6rftRMhNP0o6boD,0,4,0.25,-0.6850600572047971
0.05,0.5,0.0,R_6rftRMhNP0o6boD,1,4,0.5,-0.6813704323061911
0.05,0.5,0.0,R_6rftRMhNP0o6boD,2,4,0.5,-0.7363869282915567
0.05,0.5,0.0,R_6rftRMhNP0o6boD,3,4,0.75,-0.6144978515174018
0.05,0.5,0.0,R_6rftRMhNP0o6boD,4,4,1.0,-0.618504174848225
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,0,4,1.0,-0.5110416159246252
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,1,4,1.0,-0.5829750977661455
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,2,4,0.5,-0.6719120006296665
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,3,4,0.75,-0.616094796372576
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,4,4,0.5,-0.8166794522491556
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,0,4,0.75,-0.5502002330692024
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,1,4,0.5,-0.6013118603036179
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,2,4,0.75,-0.6003858372612204
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,3,4,0.75,-0.6422872682718348
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,4,4,0.75,-0.5242822049693491
0.05,0.5,0.0,R_1P81VK8fH860C4V,0,4,1.0,-0.6005782746549366
0.05,0.5,0.0,R_1P81VK8fH860C4V,1,4,1.0,-0.5119688654609952
0.05,0.5,0.0,R_1P81VK8fH860C4V,2,4,0.75,-0.608094596295935
0.05,0.5,0.0,R_1P81VK8fH860C4V,3,4,0.5,-0.6900107529175236
0.05,0.5,0.0,R_1P81VK8fH860C4V,4,4,1.0,-0.5171676872617494
0.05,0.5,0.0,R_7go085j249AymBb,0,4,0.5,-0.6176035194888476
0.05,0.5,0.0,R_7go085j249AymBb,1,4,0.75,-0.5960951237386816
0.05,0.5,0.0,R_7go085j249AymBb,2,4,1.0,-0.5732337870291042
0.05,0.5,0.0,R_7go085j249AymBb,3,4,0.75,-0.6162043102636463
0.05,0.5,0.0,R_7go085j249AymBb,4,4,0.5,-0.719553161782158
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,0,4,0.25,-0.6742070734933625
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,1,4,0.75,-0.6500098148593783
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,2,4,0.75,-0.6496319335413983
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,3,4,1.0,-0.5899109056918826
0.05,0.5,0.0,R_6xzSCFMWRhzZIRg,4,4,0.75,-0.6611469574171885
0.05,0.5,0.0,R_5EychZPB1u00qZH,0,4,0.75,-0.5482860343988791
0.05,0.5,0.0,R_5EychZPB1u00qZH,1,4,0.5,-0.6309899711172118
0.05,0.5,0.0,R_5EychZPB1u00qZH,2,4,1.0,-0.5851019275954009
0.05,0.5,0.0,R_5EychZPB1u00qZH,3,4,0.75,-0.5561750385730906
0.05,0.5,0.0,R_5EychZPB1u00qZH,4,4,0.25,-0.7399822788214153
0.05,0.5,0.0,R_59glCvaBnt5WTU6,0,4,0.5,-0.7070219997609573
0.05,0.5,0.0,R_59glCvaBnt5WTU6,1,4,0.75,-0.6051769211898534
0.05,0.5,0.0,R_59glCvaBnt5WTU6,2,4,1.0,-0.5902588722280027
0.05,0.5,0.0,R_59glCvaBnt5WTU6,3,4,0.75,-0.6191468996896113
0.05,0.5,0.0,R_59glCvaBnt5WTU6,4,4,0.75,-0.6451654448447497
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,0,4,0.5,-0.6309453004741521
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,1,4,0.75,-0.7713280460186053
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,2,4,0.75,-0.592761594207065
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,3,4,0.75,-0.6508958385302908
0.05,0.5,0.0,R_1nBL27EvLs0Bkk4,4,4,1.0,-0.5512031827562329
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,0,4,0.75,-0.6535455216392652
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,1,4,0.5,-0.6841708704777055
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,2,4,0.75,-0.6724223151283867
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,3,4,0.75,-0.6825985059395243
0.05,0.5,0.0,R_6FsUQnzEYAQwtwa,4,4,0.5,-0.6449229317605538
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,0,4,1.0,-0.5747516096659644
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,1,4,0.75,-0.5732120455271079
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,2,4,0.75,-0.575120000868835
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,3,4,0.75,-0.6076928826972148
0.05,0.5,0.0,R_5pX1jjp1Yu1RSN7,4,4,0.25,-0.8567800799454347
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,0,5,1.0,-0.43764948248514923
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,1,5,0.8,-0.5458723216717029
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,2,5,0.8,-0.5870634280082507
0.05,0.5,0.0,R_5DY1mtPtJpWz8WC,3,5,0.6,-0.5004182276876754
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,0,4,1.0,-0.5889913225391835
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,1,4,0.5,-0.7512140689817115
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,2,4,0.75,-0.6601704998295751
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,3,4,0.5,-0.6466404311372478
0.05,0.5,0.0,R_1PN3SGDWOMibPAh,4,4,1.0,-0.6070280957466158
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,0,4,0.75,-0.6290582799001264
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,1,4,0.5,-0.7067242866435739
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,2,4,0.5,-0.7432818946712201
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,3,4,0.75,-0.5770912702787553
0.05,0.5,0.0,R_3SrBXsc2uYrsSZz,4,4,1.0,-0.590054771776453
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,0,4,0.75,-0.5595280695072004
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,1,4,0.75,-0.5600649163795628
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,2,4,1.0,-0.5202674912253968
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,3,4,0.5,-0.671509292154723
0.05,0.5,0.0,R_7rNeEq8TvAxjqdL,4,4,0.75,-0.5874900125046884
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,0,4,0.5,-0.7651524277978088
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,1,4,0.75,-0.6579416949684038
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,2,4,0.5,-0.7514646609185971
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,3,4,0.5,-0.6989562515300196
0.05,0.5,0.0,R_7QAkOtO6FETwKSv,4,4,0.5,-0.712095844822686
0.05,0.5,0.25,R_5EfMjMbx1z8Kvhl,0,4,0.5,-0.6698129195064965
0.05,0.5,0.25,R_5EfMjMbx1z8Kvhl,1,4,0.75,-0.6414664413180295
0.05,0.5,0.25,R_5EfMjMbx1z8Kvhl,2,4,0.5,-0.6711418727270065
0.05,0.5,0.25,R_5EfMjMbx1z8Kvhl,3,4,1.0,-0.6022181597518783
0.05,0.5,0.25,R_5EfMjMbx1z8Kvhl,4,4,0.75,-0.6008663033972121
0.05,0.5,0.25,R_56aT1YjmRtKACUH,0,4,0.75,-0.6636745245573196
0.05,0.5,0.25,R_56aT1YjmRtKACUH,1,4,0.5,-0.7389764833767847
0.05,0.5,0.25,R_56aT1YjmRtKACUH,2,4,0.75,-0.6575235073077361
0.05,0.5,0.25,R_56aT1YjmRtKACUH,3,4,0.75,-0.6636133040564058
0.05,0.5,0.25,R_56aT1YjmRtKACUH,4,4,0.5,-0.6993165341915271
0.05,0.5,0.25,R_3HS2lsaEfcZSuXu,0,4,0.75,-0.6114064358695843
0.05,0.5,0.25,R_3HS2lsaEfcZSuXu,1,4,0.5,-0.7643372405541466
0.05,0.5,0.25,R_3HS2lsaEfcZSuXu,2,4,0.5,-0.7022796624589417
0.05,0.5,0.25,R_3HS2lsaEfcZSuXu,3,4,0.75,-0.620907575481092
0.05,0.5,0.25,R_3HS2lsaEfcZSuXu,4,4,0.75,-0.6087127044507666
0.05,0.5,0.25,R_6HoVfVJSFl7IrlL,0,4,0.5,-0.6853947495913726
0.05,0.5,0.25,R_6HoVfVJSFl7IrlL,1,4,0.75,-0.6064298827568044
0.05,0.5,0.25,R_6HoVfVJSFl7IrlL,2,4,0.5,-0.7299529170504386
0.05,0.5,0.25,R_6HoVfVJSFl7IrlL,3,4,1.0,-0.6296344646836977
0.05,0.5,0.25,R_6HoVfVJSFl7IrlL,4,4,0.75,-0.6091656624490784
0.05,0.5,0.25,R_5Q5TZ5csoblHSvA,0,4,0.25,-0.7386954119686153
0.05,0.5,0.25,R_5Q5TZ5csoblHSvA,1,4,0.5,-0.681771515095578
0.05,0.5,0.25,R_5Q5TZ5csoblHSvA,2,4,0.75,-0.6721352134068983
0.05,0.5,0.25,R_5Q5TZ5csoblHSvA,3,4,0.25,-0.7161427320554854
0.05,0.5,0.25,R_5Q5TZ5csoblHSvA,4,4,0.5,-0.6748583982459306
0.05,0.5,0.25,R_18H831wJaDlPwgg,0,4,0.5,-0.6653978283294467
0.05,0.5,0.25,R_18H831wJaDlPwgg,1,4,1.0,-0.5351722441543488
0.05,0.5,0.25,R_18H831wJaDlPwgg,2,4,0.5,-0.5972104143276592
0.05,0.5,0.25,R_18H831wJaDlPwgg,3,4,1.0,-0.4713215561654776
0.05,0.5,0.25,R_18H831wJaDlPwgg,4,4,1.0,-0.5040988685944132
0.05,0.5,0.25,R_12mMAseFwoOpgqC,0,4,0.5,-0.6407026351440863
0.05,0.5,0.25,R_12mMAseFwoOpgqC,1,4,0.5,-0.6444378231878223
0.05,0.5,0.25,R_12mMAseFwoOpgqC,2,4,0.5,-0.7209557172073537
0.05,0.5,0.25,R_12mMAseFwoOpgqC,3,4,0.5,-0.6899360678662834
0.05,0.5,0.25,R_12mMAseFwoOpgqC,4,4,0.5,-0.6335329166986793
0.05,0.5,0.25,R_7ojvA7NDI10RoKR,0,5,0.6,-0.6208191636569784
0.05,0.5,0.25,R_7ojvA7NDI10RoKR,1,5,0.8,-0.5861602554165901
0.05,0.5,0.25,R_7ojvA7NDI10RoKR,2,5,0.8,-0.6183901049537508
0.05,0.5,0.25,R_7ojvA7NDI10RoKR,3,5,1.0,-0.5654331273629819
0.05,0.5,0.25,R_5gbXjT8uFYXCo7E,0,4,0.25,-0.7758120808263778
0.05,0.5,0.25,R_5gbXjT8uFYXCo7E,1,4,0.5,-0.6947845662900163
0.05,0.5,0.25,R_5gbXjT8uFYXCo7E,2,4,0.75,-0.6637074726846586
0.05,0.5,0.25,R_5gbXjT8uFYXCo7E,3,4,0.75,-0.6645205450174326
0.05,0.5,0.25,R_5gbXjT8uFYXCo7E,4,4,0.75,-0.6653283763852893
0.05,0.5,0.25,R_7f9o7q4AZOoP4ot,0,4,0.5,-0.6994284248157182
0.05,0.5,0.25,R_7f9o7q4AZOoP4ot,1,4,0.25,-0.7652870911097827
0.05,0.5,0.25,R_7f9o7q4AZOoP4ot,2,4,0.0,-0.7301250909666772
0.05,0.5,0.25,R_7f9o7q4AZOoP4ot,3,4,0.25,-0.7315501625340135
0.05,0.5,0.25,R_7f9o7q4AZOoP4ot,4,4,0.25,-0.7874534784230034
0.05,0.5,0.25,R_1WHYlcDjJDcnUfD,0,4,0.5,-0.7095185396162526
0.05,0.5,0.25,R_1WHYlcDjJDcnUfD,1,4,0.75,-0.6790052107426858
0.05,0.5,0.25,R_1WHYlcDjJDcnUfD,2,4,0.75,-0.6834323831744242
0.05,0.5,0.25,R_1WHYlcDjJDcnUfD,3,4,0.25,-0.7405628375697918
0.05,0.5,0.25,R_1WHYlcDjJDcnUfD,4,4,0.75,-0.68958971896903
0.05,0.5,0.25,R_6Q0gBjey6IdfZpf,0,4,0.75,-0.6166058773243013
0.05,0.5,0.25,R_6Q0gBjey6IdfZpf,1,4,1.0,-0.6048295068131111
0.05,0.5,0.25,R_6Q0gBjey6IdfZpf,2,4,0.75,-0.6113757708705115
0.05,0.5,0.25,R_6Q0gBjey6IdfZpf,3,4,0.5,-0.6486375348898133
0.05,0.5,0.25,R_6Q0gBjey6IdfZpf,4,4,0.5,-0.604490116963625
0.05,0.5,0.25,R_1wzohnjOPhN82Wd,0,4,0.75,-0.6237607639274281
0.05,0.5,0.25,R_1wzohnjOPhN82Wd,1,4,0.75,-0.6034752299840582
0.05,0.5,0.25,R_1wzohnjOPhN82Wd,2,4,0.75,-0.5736357652706373
0.05,0.5,0.25,R_1wzohnjOPhN82Wd,3,4,1.0,-0.590967706921884
0.05,0.5,0.25,R_1wzohnjOPhN82Wd,4,4,0.25,-0.7643501417432754
0.05,0.5,0.25,R_70kbQcqJL4Tkq6B,0,4,0.5,-0.7458958820729596
0.05,0.5,0.25,R_70kbQcqJL4Tkq6B,1,4,0.5,-0.704475427598753
0.05,0.5,0.25,R_70kbQcqJL4Tkq6B,2,4,1.0,-0.5957881000250758
0.05,0.5,0.25,R_70kbQcqJL4Tkq6B,3,4,0.75,-0.6246258534349758
0.05,0.5,0.25,R_70kbQcqJL4Tkq6B,4,4,1.0,-0.5836441061490288
0.05,0.5,0.25,R_6rftRMhNP0o6boD,0,4,0.5,-0.6697716505941459
0.05,0.5,0.25,R_6rftRMhNP0o6boD,1,4,0.5,-0.6789263866880116
0.05,0.5,0.25,R_6rftRMhNP0o6boD,2,4,0.5,-0.7283656695769964
0.05,0.5,0.25,R_6rftRMhNP0o6boD,3,4,0.75,-0.6212693368294748
0.05,0.5,0.25,R_6rftRMhNP0o6boD,4,4,1.0,-0.6291755849027736
0.05,0.5,0.25,R_6jv2PrGBJcO4of6,0,4,1.0,-0.5360230715725598
0.05,0.5,0.25,R_6jv2PrGBJcO4of6,1,4,1.0,-0.6020413105871745
0.05,0.5,0.25,R_6jv2PrGBJcO4of6,2,4,0.5,-0.6815910600151684
0.05,0.5,0.25,R_6jv2PrGBJcO4of6,3,4,0.75,-0.625174123974313
0.05,0.5,0.25,R_6jv2PrGBJcO4of6,4,4,0.5,-0.8239191457029167
0.05,0.5,0.25,R_1dHqTtKKq3yQvmX,0,4,0.75,-0.5330507301510263
0.05,0.5,0.25,R_1dHqTtKKq3yQvmX,1,4,0.5,-0.5749460117771544
0.05,0.5,0.25,R_1dHqTtKKq3yQvmX,2,4,0.75,-0.5966970330442951
0.05,0.5,0.25,R_1dHqTtKKq3yQvmX,3,4,0.75,-0.6340968256163027
0.05,0.5,0.25,R_1dHqTtKKq3yQvmX,4,4,0.75,-0.5261435543419647
0.05,0.5,0.25,R_1P81VK8fH860C4V,0,4,1.0,-0.5928209967758503
0.05,0.5,0.25,R_1P81VK8fH860C4V,1,4,1.0,-0.5153665711543591
0.05,0.5,0.25,R_1P81VK8fH860C4V,2,4,0.75,-0.6121761925617781
0.05,0.5,0.25,R_1P81VK8fH860C4V,3,4,0.25,-0.6925951262391292
0.05,0.5,0.25,R_1P81VK8fH860C4V,4,4,1.0,-0.530999635666042
0.05,0.5,0.25,R_7go085j249AymBb,0,4,0.5,-0.6171877074451773
0.05,0.5,0.25,R_7go085j249AymBb,1,4,0.75,-0.5873117652405766
0.05,0.5,0.25,R_7go085j249AymBb,2,4,1.0,-0.5719314500352605
0.05,0.5,0.25,R_7go085j249AymBb,3,4,0.75,-0.609245342660334
0.05,0.5,0.25,R_7go085j249AymBb,4,4,0.5,-0.7189704524081806
0.05,0.5,0.25,R_6xzSCFMWRhzZIRg,0,4,0.25,-0.6710891168768253
0.05,0.5,0.25,R_6xzSCFMWRhzZIRg,1,4,0.75,-0.6389939275815187
0.05,0.5,0.25,R_6xzSCFMWRhzZIRg,2,4,0.75,-0.6463186784665986
0.05,0.5,0.25,R_6xzSCFMWRhzZIRg,3,4,1.0,-0.6056632949400864
0.05,0.5,0.25,R_6xzSCFMWRhzZIRg,4,4,0.75,-0.6509317300282006
0.05,0.5,0.25,R_5EychZPB1u00qZH,0,4,0.75,-0.550619733121927
0.05,0.5,0.25,R_5EychZPB1u00qZH,1,4,0.5,-0.6384898381035549
