user_id,condition,fit_type,n_trials,test_acc,test_ll,spearman,combined
0,choice_only,standard,1,0.515,-0.693150886355719,0.1410612563393079,-0.12946937183034607
0,choice_only,projected,1,0.48,-0.7031969415138009,0.1410612563393079,-0.12946937183034607
0,choice_only,partial,1,0.48,-0.7031969415138009,0.1410612563393079,-0.12946937183034607
0,choice_only,blend,1,0.48,-0.7031969415138009,0.1410612563393079,-0.12946937183034607
0,choice_only,standard,2,0.51,-0.6932341277182178,0.03424608535405163,-0.08287695732297416
0,choice_only,projected,2,0.45,-0.7303685541412858,0.04117684072332398,-0.07941157963833799
0,choice_only,partial,2,0.45,-0.7303685541412858,0.04117684072332398,-0.07941157963833799
0,choice_only,blend,2,0.45,-0.7303685541412858,0.04117684072332398,-0.07941157963833799
0,choice_only,standard,3,0.495,-0.6932117142976637,0.10029210710829407,-0.14985394644585298
0,choice_only,projected,3,0.415,-0.7339726947507095,0.09050751129285074,-0.2547462443535746
0,choice_only,partial,3,0.415,-0.7339726947507095,0.09050751129285074,-0.2547462443535746
0,choice_only,blend,3,0.415,-0.7339726947507095,0.09050751129285074,-0.2547462443535746
0,choice_only,standard,4,0.565,-0.6922415295081525,0.26703792746314065,-0.06648103626842969
0,choice_only,projected,4,0.515,-0.7075039776823056,0.25073026777073515,-0.07463486611463244
0,choice_only,partial,4,0.515,-0.7075039776823056,0.25073026777073515,-0.07463486611463244
0,choice_only,blend,4,0.515,-0.7075039776823056,0.25073026777073515,-0.07463486611463244
0,choice_only,standard,5,0.565,-0.692055109792723,0.29109172550943885,-0.05445413724528059
0,choice_only,projected,5,0.54,-0.7001790254758324,0.28701481058633743,-0.056492594706831295
0,choice_only,partial,5,0.54,-0.7001790254758324,0.28701481058633743,-0.056492594706831295
0,choice_only,blend,5,0.54,-0.7001790254758324,0.28701481058633743,-0.056492594706831295
0,choice_only,standard,6,0.565,-0.6916862765505799,0.2813071296939956,0.04065356484699781
0,choice_only,projected,6,0.595,-0.6777875801241986,0.3012840128171923,0.050642006408596174
0,choice_only,partial,6,0.595,-0.6777875801241986,0.3012840128171923,0.050642006408596174
0,choice_only,blend,6,0.595,-0.6777875801241986,0.3012840128171923,0.050642006408596174
0,choice_only,standard,7,0.545,-0.6918514189074098,0.2605148635861785,-0.06974256820691077
0,choice_only,projected,7,0.525,-0.7076239943428342,0.2735609913401029,0.03678049567005148
0,choice_only,partial,7,0.525,-0.7076239943428342,0.2735609913401029,0.03678049567005148
0,choice_only,blend,7,0.525,-0.7076239943428342,0.2735609913401029,0.03678049567005148
0,choice_only,standard,8,0.575,-0.6916479761841191,0.27396868283241305,0.036984341416206545
0,choice_only,projected,8,0.5,-0.7142973099510809,0.29068403401712867,0.14534201700856433
0,choice_only,partial,8,0.5,-0.7142973099510809,0.29068403401712867,0.14534201700856433
0,choice_only,blend,8,0.5,-0.7142973099510809,0.29068403401712867,0.14534201700856433
0,choice_only,standard,9,0.595,-0.6912805107272751,0.4036145773870371,0.20180728869351855
0,choice_only,projected,9,0.535,-0.700794960811277,0.39546074754083427,0.19773037377041713
0,choice_only,partial,9,0.535,-0.700794960811277,0.39546074754083427,0.19773037377041713
0,choice_only,blend,9,0.535,-0.700794960811277,0.39546074754083427,0.19773037377041713
0,choice_only,standard,10,0.59,-0.691025088561391,0.3359377896635541,0.16796889483177704
