user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial,test_acc_blend,test_ll_blend,spearman_blend,topn_sign_blend,topn_overlap_blend,combined_blend
0,choice_only,20,0.421816834526932,0.58,-0.6905539869752336,0.3084909594216971,0.2,0.3,-0.14575452028915145,0.545,-1.020521140026013,0.18236314528313863,0.2,0.3,-0.20881842735843067,0.545,-1.020521140026013,0.18236314528313863,0.2,0.3,-0.20881842735843067,0.55,-0.8725744392575092,0.18236314528313863,0.2,0.3,-0.20881842735843067
0,inference_affirm,20,0.8387298126748699,0.545,-0.6914014530801025,-0.20967744898193474,0.2,0.6,-0.40483872449096736,0.47,-1.2321286919608037,-0.1936102115120547,0.1,0.4,-0.4968051057560274,0.555,-2.2126692248600768,0.2498455426566349,0.3,0.5,-0.07507722867168257,0.55,-1.7161104904116709,0.2498455426566349,0.3,0.5,-0.07507722867168257
0,inference_categories,20,0.9336891894154675,0.475,-0.6941728815950262,0.04257817929518215,0.2,0.3,-0.2787109103524089,0.525,-1.168327880558747,-0.1662959078132586,0.2,0.6,-0.38314795390662926,0.62,-3.788027966956948,0.5004944471867638,0.5,0.6,0.2502472235933819,0.62,-2.978828522047798,0.5004944471867638,0.5,0.6,0.2502472235933819
1,choice_only,20,0.5393326537660299,0.565,-0.6905280798671243,-0.23490797356198886,0.3,0.6,-0.31745398678099446,0.565,-0.996548233391025,-0.17184543032387103,0.3,0.5,-0.2859227151619355,0.565,-0.996548233391025,-0.17184543032387103,0.3,0.5,-0.2859227151619355,0.565,-0.8679299426633815,-0.17184543032387103,0.3,0.5,-0.2859227151619355
1,inference_affirm,20,0.8957520467826002,0.565,-0.6909195086515626,-0.11508914140956503,0.3,0.6,-0.25754457070478254,0.575,-0.948749961355333,-0.07252192472383549,0.3,0.6,-0.23626096236191776,0.635,-2.3650338825879946,0.345267424228695,0.5,0.7,0.1726337121143475,0.635,-1.8126207933215324,0.345267424228695,0.5,0.7,0.1726337121143475
1,inference_categories,20,0.9130853907961249,0.545,-0.6906598046658248,0.012612508647623564,0.3,0.5,-0.19369374567618822,0.545,-0.9869528983615087,0.009459381485717672,0.4,0.6,-0.09527030925714114,0.64,-2.605599814131712,0.5533738169144838,0.5,0.7,0.2766869084572419,0.64,-1.9908426461141084,0.5533738169144838,0.5,0.7,0.2766869084572419
2,choice_only,20,0.2951375164257507,0.545,-0.6906544126480615,0.322141307457629,0.3,0.7,-0.03892934627118552,0.53,-0.9861635556464367,0.17391677948632736,0.2,0.6,-0.21304161025683632,0.53,-0.9861635556464367,0.17391677948632736,0.2,0.6,-0.21304161025683632,0.53,-0.8619174396157817,0.17391677948632736,0.2,0.6,-0.21304161025683632
2,inference_affirm,20,0.6417612018264421,0.63,-0.6899805027403698,0.32807028857648113,0.3,0.6,-0.03596485571175945,0.615,-0.8439935801448489,0.17786943356556204,0.3,0.6,-0.111065283217219,0.515,-3.3844600918659227,0.5612768792513291,0.3,0.4,0.08063843962566453,0.515,-2.6149581133277824,0.5612768792513291,0.3,0.4,0.08063843962566453
2,inference_categories,20,0.759007730359454,0.615,-0.6893098953153065,0.3458572319330373,0.3,0.6,-0.02707138403348136,0.65,-0.7546161559060836,0.1482245279713017,0.3,0.5,-0.12588773601434916,0.625,-3.353518351649435,0.604756074122911,0.4,0.6,0.20237803706145552,0.625,-2.547789905917283,0.604756074122911,0.4,0.6,0.20237803706145552
3,choice_only,20,0.414683323628635,0.545,-0.6921068164282836,0.14837082980375163,0.5,0.4,0.07418541490187582,0.565,-0.8359996820244397,0.21051567998333345,0.4,0.4,0.005257839991666749,0.565,-0.8359996820244397,0.21051567998333345,0.4,0.4,0.005257839991666749,0.565,-0.7592452414055009,0.21051567998333345,0.4,0.4,0.005257839991666749
