user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
0,choice_only,20,0.4399421782128885,0.6,-0.6748716651230644,0.27799851904915146,0.4,1.0,0.03899925952457575,0.75,-0.7976268280820398,0.3814398284627892,0.3,1.0,-0.009280085768605423,0.75,-0.7976268280820398,0.3814398284627892,0.3,1.0,-0.009280085768605423
0,inference_affirm,20,0.8998933501327455,0.4,-0.7043815262307763,-0.058185736545171236,0.1,1.0,-0.42909286827258564,0.5,-0.8708226282865483,0.07111590022187594,0.3,1.0,-0.16444204988906203,0.4,-0.6919058859566892,0.42023031949290335,0.3,1.0,0.010115159746451663
0,inference_categories,20,0.8248461214987164,0.55,-0.6618189651539628,0.21334770066562786,0.3,1.0,-0.09332614966718608,0.6,-0.7592461060739859,-0.2262778643423326,0.1,1.0,-0.5131389321711664,0.55,-0.6855077997626556,0.43316048316960803,0.5,1.0,0.21658024158480402
1,choice_only,20,0.5273298447072097,0.4,-0.7106722610543044,0.2376160518026745,0.5,1.0,0.11880802590133725,0.35,-1.2380682551409525,0.2813874297663251,0.5,1.0,0.14069371488316254,0.35,-1.2380682551409525,0.2813874297663251,0.5,1.0,0.14069371488316254
1,inference_affirm,20,0.6584896167071379,0.55,-0.6909401461556427,-0.09379580992210836,0.1,1.0,-0.4468979049610542,0.4,-0.8893551118405032,-0.07503664793768669,0.2,1.0,-0.33751832396884335,0.55,-0.6890129478900558,0.16883245785979503,0.1,1.0,-0.3155837710701025
1,inference_categories,20,0.9615738875560458,0.45,-0.7024276577240153,-0.2626282677819034,0.2,1.0,-0.4313141338909517,0.4,-0.9568410397908444,0.3564240777040118,0.3,1.0,-0.02178796114799411,0.65,-0.6890037660229782,0.6253053994807224,0.4,1.0,0.21265269974036122
2,choice_only,20,0.45968097249666845,0.5,-0.7047011810288601,-0.058185736545171236,0.2,1.0,-0.3290928682725856,0.25,-1.3726491008181716,-0.12283655492869483,0.2,1.0,-0.3614182774643474,0.25,-1.3726491008181716,-0.12283655492869483,0.2,1.0,-0.3614182774643474
2,inference_affirm,20,0.564292914556516,0.35,-0.7169222251638036,-0.3814398284627892,0.2,1.0,-0.4907199142313946,0.5,-1.1737600131872208,0.006465081838352358,0.1,1.0,-0.39676745908082384,0.55,-0.6946424574686287,-0.27799851904915146,0.2,1.0,-0.43899925952457575
2,inference_categories,20,0.9844906839083443,0.15,-0.7373178835668643,-0.1874873733122184,0.2,1.0,-0.3937436866561092,0.1,-1.546789590428522,0.14869688228210426,0.3,1.0,-0.12565155885894788,0.35,-0.7074900051679471,0.8727860481775686,0.5,1.0,0.4363930240887843
3,choice_only,20,0.975502945799737,0.2,-0.7373289185097538,-0.49959672366232943,0.1,1.0,-0.6497983618311647,0.4,-1.0129297898524015,0.5741633988358116,0.3,1.0,0.08708169941790578,0.4,-1.0129297898524015,0.5741633988358116,0.3,1.0,0.08708169941790578
3,inference_affirm,20,0.6863155771797673,0.45,-0.7125556152759072,0.32063670324597265,0.3,1.0,-0.039681648377013684,0.65,-0.8123870112610516,0.45485671855824034,0.3,1.0,0.027428359279120157,0.75,-0.6690116691325839,0.6338167389745971,0.3,1.0,0.11690836948729855
3,inference_categories,20,0.9514788139450829,0.65,-0.6872384135189793,-0.06711000765613381,0.1,1.0,-0.43355500382806694,0.65,-0.6977482162424988,0.5592500638011151,0.3,1.0,0.07962503190055753,0.7,-0.6682103905179207,0.7232967491827754,0.3,1.0,0.1616483745913877
