persona_id,condition,fit_type,n_trials,test_acc,test_ll
0,inference_affirm,projected,15,0.76,-0.609806681122232
0,inference_affirm,partial,15,0.76,-0.6074114091451299
0,inference_affirm,standard,16,0.74,-0.6920162729972028
0,inference_affirm,projected,16,0.76,-0.6035949379697787
0,inference_affirm,partial,16,0.76,-0.6020722888366021
0,inference_affirm,standard,17,0.74,-0.6916997943930623
0,inference_affirm,projected,17,0.76,-0.5983166942484889
0,inference_affirm,partial,17,0.76,-0.5980681089004455
0,inference_affirm,standard,18,0.74,-0.6916217282753127
0,inference_affirm,projected,18,0.74,-0.5963707197896563
0,inference_affirm,partial,18,0.74,-0.5963077321434519
0,inference_affirm,standard,19,0.74,-0.691575072523832
0,inference_affirm,projected,19,0.7,-0.5959511100429747
0,inference_affirm,partial,19,0.74,-0.5952779838016605
0,inference_affirm,standard,20,0.74,-0.6914481493900663
0,inference_affirm,projected,20,0.7,-0.5921642267262245
0,inference_affirm,partial,20,0.74,-0.5904793353484954
0,inference_categories,standard,1,0.48,-0.6931634335747002
0,inference_categories,projected,1,0.44,-0.6929440600958656
0,inference_categories,partial,1,0.5,-0.6936551774329429
0,inference_categories,standard,2,0.5,-0.6931601180437775
0,inference_categories,projected,2,0.46,-0.6967050334276914
0,inference_categories,partial,2,0.46,-0.6983867684832923
0,inference_categories,standard,3,0.76,-0.6929705652491803
0,inference_categories,projected,3,0.72,-0.6709040734082307
0,inference_categories,partial,3,0.68,-0.6799113585054399
0,inference_categories,standard,4,0.66,-0.6929634720033877
0,inference_categories,projected,4,0.62,-0.6671434727657823
0,inference_categories,partial,4,0.62,-0.6767685638974349
0,inference_categories,standard,5,0.54,-0.6930659338292787
0,inference_categories,projected,5,0.72,-0.6783295151227936
0,inference_categories,partial,5,0.56,-0.6840561689349882
0,inference_categories,standard,6,0.68,-0.6929632688811764
0,inference_categories,projected,6,0.76,-0.6667989981757684
0,inference_categories,partial,6,0.64,-0.6712512301970041
0,inference_categories,standard,7,0.74,-0.6927928252873079
0,inference_categories,projected,7,0.76,-0.6508727702127126
0,inference_categories,partial,7,0.72,-0.6530155082065326
0,inference_categories,standard,8,0.76,-0.6926116947166914
0,inference_categories,projected,8,0.76,-0.6386472940506447
0,inference_categories,partial,8,0.68,-0.638581159966622
0,inference_categories,standard,9,0.76,-0.692632081288476
0,inference_categories,projected,9,0.76,-0.6376089694999325
0,inference_categories,partial,9,0.72,-0.6347825249431118
0,inference_categories,standard,10,0.74,-0.6926761151643298
0,inference_categories,projected,10,0.76,-0.6393004343853691
0,inference_categories,partial,10,0.7,-0.6362711122693518
0,inference_categories,standard,11,0.78,-0.6924698179301508
0,inference_categories,projected,11,0.76,-0.6263249308533543
0,inference_categories,partial,11,0.7,-0.6249844517391806
0,inference_categories,standard,12,0.76,-0.6924038918733754
0,inference_categories,projected,12,0.76,-0.6221065688050834
0,inference_categories,partial,12,0.72,-0.6216368331534354
0,inference_categories,standard,13,0.76,-0.6924162539350738
0,inference_categories,projected,13,0.76,-0.6210732949109858
0,inference_categories,partial,13,0.68,-0.6210868261013206
0,inference_categories,standard,14,0.78,-0.6922633402629225
0,inference_categories,projected,14,0.76,-0.6150569725279746
0,inference_categories,partial,14,0.72,-0.6160646996851138
0,inference_categories,standard,15,0.76,-0.6921897889803813
0,inference_categories,projected,15,0.76,-0.609806681122232
0,inference_categories,partial,15,0.72,-0.6109440743921883
0,inference_categories,standard,16,0.74,-0.6920162729972028
0,inference_categories,projected,16,0.76,-0.6035949379697787
0,inference_categories,partial,16,0.72,-0.604433433030806
0,inference_categories,standard,17,0.74,-0.6916997943930623
0,inference_categories,projected,17,0.76,-0.5983166942484889
0,inference_categories,partial,17,0.78,-0.5977336542007855
0,inference_categories,standard,18,0.74,-0.6916217282753127
0,inference_categories,projected,18,0.74,-0.5963707197896563
0,inference_categories,partial,18,0.74,-0.5948879597416867
0,inference_categories,standard,19,0.74,-0.691575072523832
0,inference_categories,projected,19,0.7,-0.5959511100429747
0,inference_categories,partial,19,0.74,-0.5942294803951019
0,inference_categories,standard,20,0.74,-0.6914481493900663
0,inference_categories,projected,20,0.7,-0.5921642267262245
0,inference_categories,partial,20,0.74,-0.5899753624726136
3,choice_only,standard,1,0.6,-0.6930964645298289
3,choice_only,projected,1,0.58,-0.692023605644674
3,choice_only,partial,1,0.58,-0.692023605644674
3,choice_only,standard,2,0.7,-0.6929615429623225
3,choice_only,projected,2,0.68,-0.6723552979785175
3,choice_only,partial,2,0.68,-0.6723552979785175
3,choice_only,standard,3,0.72,-0.6930014112614562
3,choice_only,projected,3,0.66,-0.6767769165839966
3,choice_only,partial,3,0.66,-0.6767769165839966
